symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,TOTAL_TRADES,TOTAL_NET_PNL,TOTAL_GROSS_PNL,TOTAL_WIN_RATE,IS_TRADES,IS_WIN_RATE,IS_NET_PNL,IS_GROSS_PNL,OOS_TRADES,OOS_WIN_RATE,OOS_NET_PNL,OOS_GROSS_PNL,Z_ENTRY,Z_STOP,Z_EXIT
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,180,-6012.554083036928,3484.900000000067,47.77777777777778,145,46.89655172413793,-6317.687402969893,1339.0000000001046,35,51.42857142857143,305.13331993296197,2145.899999999962,2.0,3.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,192,-8796.234408568125,1333.5999999998805,43.229166666666664,154,44.15584415584416,-6969.153082901165,1162.0999999998373,38,39.473684210526315,-1827.0813256669576,171.50000000004275,2.0,3.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,201,-8952.792052149873,1653.0000000001287,40.298507462686565,159,41.509433962264154,-6092.757644503926,2303.2000000000744,42,35.714285714285715,-2860.034407645945,-650.199999999945,2.0,3.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,180,-8223.709323333986,1273.6000000000122,41.666666666666664,145,39.310344827586206,-9106.923006384939,-1450.499999999943,35,51.42857142857143,883.2136830509552,2724.099999999956,2.0,3.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,192,-9907.216680571164,222.69999999983406,36.979166666666664,154,36.36363636363637,-8709.282722241174,-578.1000000001766,38,39.473684210526315,-1197.9339583299898,800.8000000000109,2.0,3.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,201,-9457.26202525087,1148.5000000001319,34.32835820895522,159,33.9622641509434,-7305.423909280916,1090.3000000000836,42,35.714285714285715,-2151.838115969952,58.20000000004802,2.0,3.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,181,-10189.370568332031,-640.4000000000319,37.569060773480665,146,36.3013698630137,-10089.41903272201,-2381.600000000014,35,42.857142857142854,-99.95153561001769,1741.1999999999816,2.0,4.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,193,-10523.045809700168,-341.20000000017353,34.196891191709845,155,34.193548387096776,-8991.09297862621,-808.4000000002168,38,34.21052631578947,-1531.952831073957,467.20000000004325,2.0,4.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,203,-9144.475575190909,1566.100000000094,32.01970443349754,161,31.677018633540374,-7058.93364270395,1441.200000000052,42,33.333333333333336,-2085.5419324869576,124.90000000004216,2.0,4.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,180,-10335.84833056406,-841.4000000000588,36.111111111111114,145,35.172413793103445,-8819.95930907105,-1166.9000000000503,35,40.0,-1515.8890214930084,325.49999999999113,2.0,4.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,192,-10442.719016731226,-315.5000000002244,33.333333333333336,154,33.76623376623377,-7348.096556945263,780.0999999997389,38,31.57894736842105,-3094.6224597859627,-1095.5999999999633,2.0,4.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,203,-10474.952040565948,234.00000000005411,30.049261083743843,161,29.81366459627329,-7004.57648222797,1494.000000000032,42,30.952380952380953,-3470.375558337979,-1259.9999999999784,2.0,4.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,177,-11737.821310296125,-2399.4000000001242,34.463276836158194,142,33.098591549295776,-10674.477631773094,-3177.5000000000973,35,40.0,-1063.3436785230272,778.0999999999722,2.0,5.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,189,-11341.300662852336,-1370.0000000003397,31.746031746031747,151,31.788079470198674,-8699.223546036352,-727.0000000003574,38,31.57894736842105,-2642.0771168159818,-642.9999999999823,2.0,5.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,203,-11959.20034644292,-1247.29999999992,28.571428571428573,161,27.950310559006212,-8941.370131074924,-439.89999999992256,42,30.952380952380953,-3017.830215367997,-807.3999999999974,2.0,5.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,177,-11696.383730764905,-2355.6999999999052,35.02824858757062,142,33.80281690140845,-10786.75494164693,-3288.4999999999327,35,40.0,-909.6287891179722,932.800000000027,2.0,5.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,190,-11995.350116226215,-1970.4000000002134,32.10526315789474,152,32.23684210526316,-9710.12505794526,-1685.10000000026,38,31.57894736842105,-2285.225058280954,-285.2999999999538,2.0,5.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-12553.965554125707,-1788.199999999709,28.92156862745098,162,28.395061728395063,-9951.026588472761,-1396.4999999997601,42,30.952380952380953,-2602.9389656529497,-391.6999999999491,2.0,5.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,176,-12451.941296135996,-3164.5999999999904,33.52272727272727,141,31.914893617021278,-11819.33351620601,-4374.600000000008,35,40.0,-632.6077799299827,1210.0000000000173,2.0,6.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,190,-12621.161557510299,-2596.4000000002984,31.05263157894737,152,30.92105263157895,-10612.957508417334,-2588.300000000334,38,31.57894736842105,-2008.2040490929635,-8.099999999963984,2.0,6.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-12711.45929740177,-1945.7999999997721,27.941176470588236,162,27.160493827160494,-10385.541340936812,-1831.299999999813,42,30.952380952380953,-2325.9179564649594,-114.4999999999593,2.0,6.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-12123.836771491015,-2941.100000000014,32.18390804597701,139,30.215827338129497,-11924.948753421028,-4585.100000000031,35,40.0,-198.88801806998288,1644.0000000000173,2.0,6.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-12254.681828129284,-2334.500000000288,30.319148936170212,150,30.0,-10680.197540896319,-2760.4000000003234,38,31.57894736842105,-1574.4842872329637,425.90000000003624,2.0,6.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-13075.155052630756,-2309.899999999756,26.470588235294116,162,25.308641975308642,-11182.956858025798,-2629.399999999797,42,30.952380952380953,-1892.1981946049593,319.5000000000405,2.0,6.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-11706.110486478012,-2523.4000000000087,32.18390804597701,139,30.215827338129497,-11074.801867125043,-3734.7000000000444,35,40.0,-631.3086193529651,1211.3000000000347,2.0,7.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-11699.844134528295,-1779.600000000295,30.319148936170212,150,30.0,-9830.050654600338,-1910.0000000003383,38,31.57894736842105,-1869.793479927956,130.40000000004352,2.0,7.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-12450.362558729785,-1684.9999999997838,26.470588235294116,162,25.308641975308642,-10332.809971729814,-1778.9999999998133,42,30.952380952380953,-2117.552586999971,94.00000000002933,2.0,7.0,1.0
