stage3_rank,symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,total_trades,win_rate_pct,total_gross_pnl,total_net_pnl,total_fees_paid,avg_fees_multiple,avg_gross_pnl_per_trade,avg_net_pnl_per_trade,avg_trade_duration_minutes,max_drawdown_pct,sharpe_ratio,calmar_ratio,n_exits_mean_reversion,n_exits_halflife_timeout,n_exits_session_end,n_exits_data_end,lagging_asset,leader_asset,total_bars,live_bars,data_start,data_end,runtime_s,pearson_rho,stage1_rank,Q_beta_s2,Q_alpha_s2,R_s2,SNR_beta_R,half_life_minutes_s2,half_life_hours,adf_pvalue,hurst_exponent,beta_mean,beta_std
11,BANKINDIA,SBIN,1e-12,1.4301541e-06,0.00087659861,6.9216142,10000.0,False,,,459,8.278867102396514,1168.3499999999767,-22152.404248365314,23320.754248365283,0.050015180165322415,2.5454248366012564,-48.2623186238896,6.864923747276689,221.34100889539198,-15.891069624135763,-1.5444860035589552,18,435,6,0,BANKINDIA,SBIN,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.931,0.485892,87,1e-12,1.4301541e-06,0.00087659861,1.140773e-09,6.9216142,0.11536024,0.0,0.16509658,1.7718506,4.7285569e-06
12,BDL,IREDA,1e-12,4.5818008e-08,2.8392144e-05,6.9575553,10000.0,False,,,485,6.391752577319588,-353.7999999997778,-24996.880774564353,24643.08077456459,-0.014429207009531621,-0.7294845360820159,-51.53996035992655,6.861855670103092,249.72695346288356,-17.03431497193481,-1.5447044365523077,20,461,4,0,IREDA,BDL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.343,0.421126,230,1e-12,4.5818008e-08,2.8392144e-05,3.5221011e-08,6.9575553,0.11595926,0.0,0.15865758,1.5252085,0.00016061246
13,ADANIENSOL,ADANIGREEN,1e-12,8.6299838e-05,0.051384984,6.0607071,10000.0,False,,,556,10.071942446043165,698.5500000001265,-27462.978083315364,28161.52808331552,0.024653124287973727,1.2563848920865583,-49.393845473588804,6.794964028776978,274.3581739948936,-19.76161426909081,-1.5447376107063167,35,511,10,0,ADANIGREEN,ADANIENSOL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.778,0.574837,28,1e-12,8.6299838e-05,0.051384984,1.9460938e-11,6.0607071,0.10101178,0.0,0.16328426,1.9409659,1.8421583e-07
14,BEL,COCHINSHIP,1e-12,3.4263602e-06,0.0025774849,6.9026811,10000.0,False,,,431,13.22505800464037,717.2000000000296,-21070.977719907976,21788.177719908013,0.03257095104239854,1.6640371229699062,-48.88857939653821,6.716937354988399,210.40794797699985,-13.983138416816159,-1.5454236039286124,28,390,13,0,COCHINSHIP,BEL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.849,0.440332,164,1e-12,3.4263602e-06,0.0025774849,3.8797512e-10,6.9026811,0.11504469,0.0,0.197323,0.6608748,8.43049e-07
15,IRCON,IRFC,7.4953153e-09,1e-12,0.00018656943,8.9624055,10000.0,False,,,354,17.231638418079097,645.3599999999517,-17340.617186289062,17985.977186288987,0.035755222153622326,1.823050847457491,-48.984794311550985,8.584745762711865,173.11592974845263,-12.354405302233252,-1.5457971860891326,38,306,10,0,IRCON,IRFC,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.962,0.513345,68,7.4953153e-09,1e-12,0.00018656943,4.0174402e-05,8.9624055,0.14937342,0.0,0.22173129,0.6029002,0.010933719
16,ADANIENSOL,ADANIPORTS,1e-12,5.6604978e-05,0.04172283,8.6577517,10000.0,False,,,401,15.211970074812967,1785.8499999999622,-18519.16880655453,20305.018806554504,0.08780194014558375,4.453491271820355,-46.18246585175695,8.86783042394015,184.87872346899533,-17.489146736848426,-1.5458222380272253,18,377,6,0,ADANIENSOL,ADANIPORTS,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.311,0.421704,227,1e-12,5.6604978e-05,0.04172283,2.3967694e-11,8.6577517,0.14429586,0.0,0.20521937,2.7147598,2.6913133e-07
17,BEL,RVNL,1e-12,3.2585269e-07,0.00010747038,5.292203,10000.0,False,,,479,5.845511482254698,-371.90000000001584,-24684.322098921024,24312.422098921,-0.015356190145405638,-0.7764091858037901,-51.533031521755774,5.887265135699374,246.4164686053353,-16.96758004148859,-1.5458824596597585,20,452,7,0,BEL,RVNL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.475,0.411373,260,1e-12,3.2585269e-07,0.00010747038,9.3048892e-09,5.292203,0.088203383,0.0,0.11845002,1.0603426,2.5405617e-05
18,GAIL,TATAPOWER,1e-12,1.2422209e-05,0.0041375171,5.8375792,10000.0,False,,,560,4.642857142857143,131.0999999999092,-28298.432317532097,28429.53231753202,0.004598642953379991,0.2341071428569809,-50.53291485273587,5.860714285714286,282.437518420751,-18.687157976054614,-1.5461975621117259,32,520,8,0,TATAPOWER,GAIL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.535,0.396867,330,1e-12,1.2422209e-05,0.0041375171,2.4169085e-10,5.8375792,0.097292986,0.0,0.11973554,-0.91908963,8.5613822e-07
19,IOC,PETRONET,1e-12,9.1304647e-05,0.024355542,5.2166482,10000.0,False,,,455,7.912087912087912,701.9999999999378,-22404.172623069862,23106.1726230698,0.03035615660230813,1.5428571428570053,-49.23993983092277,5.916483516483517,223.60763430060865,-22.798301814802056,-1.546205726644383,19,432,4,0,PETRONET,IOC,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.599,0.373128,493,1e-12,9.1304647e-05,0.024355542,4.1058416e-11,5.2166482,0.086944136,0.0,0.11203029,2.6092065,3.2120034e-07
20,CANBK,SBIN,8.5110513e-10,7.8102096e-06,0.0035509608,6.020989,10000.0,False,,,468,2.3504273504273505,-450.3999999999313,-24161.30599329494,23710.905993295,-0.019021678736665562,-0.9623931623930156,-51.626722207895156,6.794871794871795,241.09586744014933,-19.692303126238667,-1.5465203296481815,34,429,5,0,SBIN,CANBK,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,50.339,0.517469,65,8.5110513e-10,7.8102096e-06,0.0035509608,2.3968306e-07,6.020989,0.10034982,0.0,0.1322712,0.9256562,0.00014238283
