Pair,Half_Life,1D_Pearson,1D_ADF,Net_PnL
BAJAJFINSV-BALKRISIND,458.78,0.81916716541929,0.15563180277301053,8304.77
CANFINHOME-DALBHARAT,382.25,0.8063759915262416,0.007931890476704383,8288.29
3MINDIA-SAPPHIRE,572.12,0.7779053452751082,0.05906238308395492,8258.22
ATUL-JSWSTEEL,339.6,0.8068317923540088,0.0754558831752663,8248.5
CHENNPETRO-VTL,594.59,0.8481892464245018,0.003432519630196337,8199.23
CANFINHOME-EMAMILTD,420.16,0.8609016398548454,0.0005837518083865579,8195.78
ITI-SUMICHEM,396.35,0.8220530773136288,0.028853049798467395,8154.36
GMRAIRPORT-NUVAMA,554.9,0.7070624723456173,0.07359572480514341,8134.44
CAMS-NIVABUPA,437.12,0.7319252759437054,0.009576028361860198,8126.57
IOB-SHREECEM,476.06,0.7238298610525862,0.006805640122426901,8061.55
GVT&D-SONACOMS,570.71,0.9079155831603376,0.011283386984378354,8049.97
ATUL-FINCABLES,446.79,0.8576670962827895,0.028820595009086406,8048.3
CANFINHOME-IREDA,278.79,0.7748806696092633,0.12367227205740533,8046.54
ATUL-SAIL,341.28,0.9048940515382841,0.02529639043860095,8027.45
CUB-SOBHA,568.25,0.7543765669320487,0.14460327150437363,8019.94
PPLPHARMA-USHAMART,611.35,0.7031680780840979,0.03844489116999891,8005.45
CCL-GMDCLTD,555.16,0.6552998619042303,0.13405453834522207,7965.28
BALRAMCHIN-DATAPATTNS,561.17,0.9401130103797256,0.0005154441124126224,7936.95
ATUL-WELCORP,487.07,0.7956153693392093,0.07949533173854684,7894.42
LTFOODS-SPLPETRO,606.09,0.6699318856744666,0.019129480081023043,7772.29
GVT&D-SCHNEIDER,422.1,0.948233001292904,0.01730448948843003,7763.76
CHOLAFIN-MSUMI,381.21,0.8560959836271256,0.009495063399597468,7733.19
BHARTIHEXA-PATANJALI,465.97,0.9161017379503493,0.005363485459292287,7704.28
RKFORGE-VTL,423.3,0.6790147185376738,0.06310557279512569,7701.43
IGIL-POWERGRID,583.28,0.6722004120008128,0.04097901730937159,7671.85
BAJAJHFL-DLF,406.28,0.9500964541234085,0.029666133908960782,7654.63
CHOLAFIN-SOBHA,519.08,0.8532742929452887,0.0016988228483436946,7626.16
ANURAS-NYKAA,393.59,0.6618123061299797,0.021511958703834214,7602.64
COROMANDEL-LTM,455.59,0.8721904811327567,0.05469625347919164,7594.58
KFINTECH-SWANCORP,616.8,0.9085717235850961,0.021570190837098175,7591.51
EIHOTEL-NEWGEN,582.03,0.8675869537922816,0.0317088230795198,7543.63
MSUMI-POONAWALLA,504.6,0.7896268121672145,0.07166679875348186,7530.99
EIHOTEL-GAIL,595.66,0.761913491011312,0.0270491388878707,7521.35
DLF-TTML,416.54,0.928320706096882,0.01312422771198845,7510.44
NIVABUPA-TATACONSUM,372.49,0.7468832111575754,0.09730917813712242,7494.54
CANFINHOME-INOXWIND,359.21,0.841873042068599,0.004316586561049153,7493.9
MRF-POONAWALLA,595.65,0.8112713026522375,0.07897771030252648,7476.37
HBLENGINE-JUBLINGREA,424.93,0.8436127214466477,0.15964169647361576,7474.82
ITCHOTELS-POONAWALLA,531.43,0.7868146632988235,0.14044381191397787,7463.6
CCL-ENGINERSIN,522.98,0.7057669098773713,0.1830489072568402,7457.5
CUB-GILLETTE,539.47,0.720121028153578,0.04953428951224498,7456.88
HINDALCO-MCX,590.75,0.9225766636366749,0.018908555126678366,7449.29
EIDPARRY-IRCTC,442.48,0.9525786716181563,0.0630243810921091,7445.69
HONASA-JSWCEMENT,489.94,0.7258171131155708,0.07087124077724681,7438.97
360ONE-IIFL,541.76,0.7648308322131058,0.17533722925098155,7413.79
ERIS-INOXWIND,524.27,0.8564892955198561,0.010112553998336823,7401.67
EIHOTEL-JUBLFOOD,478.09,0.8514713677412477,0.095698530826266,7399.09
ITI-TTML,357.88,0.8719758679244758,0.004195926154940169,7381.6
BBTC-LODHA,219.02,0.939901500163002,0.10981785701598251,7372.41
CANFINHOME-DLF,354.99,0.8495964600643763,0.003470293644160675,7342.76
CANFINHOME-JSL,539.62,0.7715518406000808,0.0068039668530893785,7337.63
ATHERENERG-PREMIERENE,565.07,0.815173392709682,0.07702763965412907,7320.85
DOMS-TECHM,372.15,0.7065671261960458,0.14615626924783953,7294.13
EIHOTEL-SBFC,610.54,0.8802309423999692,0.00221876123203009,7282.17
ABFRL-UNOMINDA,433.03,0.9322817322225216,0.00011106862044125286,7271.3
ATUL-CROMPTON,337.0,0.6847349932937241,0.10004832014017978,7242.44
