symbol_a,symbol_b,pearson_rho
PFC,RECLTD,0.65714
BDL,MAZDOCK,0.643701
GRSE,MAZDOCK,0.615188
BANKBARODA,CANBK,0.600186
BPCL,HINDPETRO,0.594945
CANBK,PNB,0.594505
IRFC,RVNL,0.59276
BPCL,IOC,0.590968
INFY,TCS,0.589765
BANKINDIA,CANBK,0.58901
BEL,HAL,0.587629
COCHINSHIP,GRSE,0.582584
BDL,HAL,0.578068
BANKINDIA,UNIONBANK,0.577812
HAL,MAZDOCK,0.575121
ADANIENT,ADANIGREEN,0.571108
IREDA,IRFC,0.571097
HINDPETRO,IOC,0.571048
BANKINDIA,PNB,0.569866
BANKBARODA,PNB,0.569572
CANBK,UNIONBANK,0.567867
BEL,MAZDOCK,0.565323
ADANIENSOL,ADANIGREEN,0.561932
BANKBARODA,BANKINDIA,0.557365
BDL,BEL,0.557186
COCHINSHIP,MAZDOCK,0.555303
DLF,GODREJPROP,0.548344
BDL,GRSE,0.546094
PNB,UNIONBANK,0.540264
HINDZINC,VEDL,0.537657
NATIONALUM,VEDL,0.532789
BANKBARODA,UNIONBANK,0.531615
IRCON,RVNL,0.530898
BANKINDIA,INDIANB,0.525994
ADANIENT,ADANIPORTS,0.524966
DATAPATTNS,GRSE,0.524033
HCLTECH,TCS,0.52113
BSE,CDSL,0.520572
IREDA,RVNL,0.51961
HINDZINC,NATIONALUM,0.518024
GRAPHITE,HEG,0.517477
INDIANB,UNIONBANK,0.515136
HINDALCO,NATIONALUM,0.514399
IRCON,RAILTEL,0.511549
COFORGE,PERSISTENT,0.511134
HCLTECH,INFY,0.510947
IRCON,IRFC,0.51091
CHENNPETRO,MRPL,0.510143
NBCC,RVNL,0.506993
JSWSTEEL,TATASTEEL,0.505216
TCS,WIPRO,0.50451
CANBK,INDIANB,0.501354
NMDC,TATASTEEL,0.500088
DLF,PRESTIGE,0.49992
INFY,WIPRO,0.497724
IREDA,NBCC,0.496067
ADANIENSOL,ADANIENT,0.49306
IREDA,RECLTD,0.491505
JINDALSTEL,TATASTEEL,0.490031
CANBK,SBIN,0.489448
IRFC,NBCC,0.487149
BANKBARODA,INDIANB,0.486455
HCLTECH,TECHM,0.48574
DLF,LODHA,0.485088
INDIANB,PNB,0.484046
GODREJPROP,PRESTIGE,0.483236
BDL,COCHINSHIP,0.483043
BEL,GRSE,0.482475
DATAPATTNS,MAZDOCK,0.480078
TCS,TECHM,0.478622
HINDALCO,VEDL,0.478512
IRCON,JWL,0.477258
GODREJPROP,LODHA,0.477096
BANKBARODA,SBIN,0.475567
HINDALCO,TATASTEEL,0.472822
INFY,TECHM,0.472626
COFORGE,MPHASIS,0.472529
ABCAPITAL,LTF,0.471639
GRSE,HAL,0.469683
NATIONALUM,NMDC,0.466342
DLF,OBEROIRLTY,0.464588
JBCHEPHARM,TORNTPHARM,0.464549
GODREJPROP,OBEROIRLTY,0.46386
IRFC,RECLTD,0.4625
RAILTEL,RVNL,0.461727
BSE,MCX,0.461655
HCLTECH,WIPRO,0.460261
MAZDOCK,RVNL,0.459466
INOXWIND,SUZLON,0.458086
INOXWIND,IREDA,0.457563
HUDCO,IREDA,0.455471
PNB,SBIN,0.454434
COFORGE,INFY,0.453722
TECHM,WIPRO,0.45292
MPHASIS,PERSISTENT,0.452273
IRFC,RAILTEL,0.451816
SAIL,TATASTEEL,0.451793
COFORGE,TECHM,0.451254
BAJAJFINSV,BAJFINANCE,0.450904
CDSL,IREDA,0.450837
ANGELONE,BSE,0.449952
COFORGE,TCS,0.449621
BDL,DATAPATTNS,0.449327
COCHINSHIP,DATAPATTNS,0.449192
BANKINDIA,SBIN,0.448617
ADANIGREEN,ADANIPORTS,0.448498
INOXWIND,NBCC,0.446663
HEROMOTOCO,TVSMOTOR,0.445767
IREDA,PFC,0.445264
JINDALSTEL,JSWSTEEL,0.444487
LODHA,PRESTIGE,0.443471
JINDALSTEL,NMDC,0.443385
IREDA,JIOFIN,0.442388
HINDCOPPER,HINDZINC,0.4416
IRCON,RITES,0.441026
IRFC,MAZDOCK,0.440658
IRCON,TITAGARH,0.439706
HINDALCO,HINDZINC,0.439687
COFORGE,WIPRO,0.43935
IRCON,IREDA,0.439188
IREDA,SUZLON,0.437998
ANGELONE,CDSL,0.437563
NATIONALUM,TATASTEEL,0.436268
CDSL,IRFC,0.435916
EICHERMOT,HEROMOTOCO,0.434704
HUDCO,NBCC,0.434636
OBEROIRLTY,PRESTIGE,0.431698
NTPC,POWERGRID,0.431323
COFORGE,HCLTECH,0.431093
HUDCO,IRFC,0.430381
ADANIGREEN,ADANIPOWER,0.430292
BAJAJ-AUTO,HEROMOTOCO,0.429533
TATASTEEL,VEDL,0.429261
COFORGE,OFSS,0.428827
SBIN,UNIONBANK,0.428593
MAZDOCK,NBCC,0.428455
COFORGE,LTM,0.427901
IREDA,MAZDOCK,0.427858
INOXWIND,IRFC,0.427141
JWL,TITAGARH,0.42662
BEML,COCHINSHIP,0.426347
PERSISTENT,TECHM,0.426089
BEL,COCHINSHIP,0.425908
RVNL,TITAGARH,0.424859
IRFC,PFC,0.424512
JWL,RVNL,0.423401
BEML,MAZDOCK,0.423369
BDL,RVNL,0.423046
NMDC,VEDL,0.422868
COCHINSHIP,HAL,0.422772
BEML,GRSE,0.422364
IRFC,SUZLON,0.421195
NBCC,RECLTD,0.420554
CDSL,NBCC,0.420262
BAJAJ-AUTO,EICHERMOT,0.418699
EICHERMOT,TVSMOTOR,0.418138
MAZDOCK,SUZLON,0.417075
LODHA,OBEROIRLTY,0.416946
JIOFIN,NBCC,0.416631
M&M,MARUTI,0.416573
JBMA,OLECTRA,0.4162
ADANIENT,AMBUJACEM,0.415881
OFSS,PERSISTENT,0.415812
PREMIERENE,WAAREEENER,0.415575
NBCC,SUZLON,0.415157
MPHASIS,TECHM,0.414779
MAZDOCK,SOLARINDS,0.41474
IRFC,JIOFIN,0.414522
HINDCOPPER,NATIONALUM,0.414161
CDSL,JIOFIN,0.413413
IDEA,INDUSTOWER,0.413017
CANBK,RECLTD,0.412312
BDL,NBCC,0.412178
BEL,DATAPATTNS,0.412149
HINDZINC,NMDC,0.411788
MPHASIS,OFSS,0.411231
INFY,PERSISTENT,0.41112
INOXWIND,RVNL,0.410903
JIOFIN,RECLTD,0.41033
KPITTECH,TATAELXSI,0.410211
JWL,RAILTEL,0.410171
PERSISTENT,TCS,0.410031
RECLTD,RVNL,0.40974
NMDC,SAIL,0.408742
HINDALCO,NMDC,0.408679
KEI,POLYCAB,0.408643
ADANIGREEN,TATAPOWER,0.408555
HCLTECH,PERSISTENT,0.407658
BAJAJ-AUTO,TVSMOTOR,0.407496
COFORGE,TATAELXSI,0.407298
BDL,BEML,0.40684
IRFC,TITAGARH,0.406312
INOXWIND,MAZDOCK,0.406178
OIL,ONGC,0.405883
HUDCO,RECLTD,0.405568
IRCON,NBCC,0.405538
DLF,NBCC,0.405232
IRFC,JWL,0.405189
CDSL,MCX,0.405099
M&M,TVSMOTOR,0.404889
BDL,IREDA,0.404747
PERSISTENT,WIPRO,0.404656
EICHERMOT,MARUTI,0.40464
MPHASIS,TCS,0.404231
ACC,AMBUJACEM,0.404062
DATAPATTNS,HAL,0.403591
COFORGE,KPITTECH,0.403457
LTM,PERSISTENT,0.403417
IRCTC,IRFC,0.403046
RECLTD,TATAPOWER,0.402556
DLF,PHOENIXLTD,0.401544
RVNL,SUZLON,0.401507
EICHERMOT,M&M,0.401506
DLF,IREDA,0.400108
ADANIENSOL,ADANIPOWER,0.399859
COCHINSHIP,RVNL,0.399791
GODREJPROP,PHOENIXLTD,0.399779
MOTHERSON,TMPV,0.399679
ADANIENSOL,ADANIPORTS,0.399064
BDL,SOLARINDS,0.398815
IREDA,RAILTEL,0.39877
OFSS,TATAELXSI,0.398502
BEL,RVNL,0.398412
JIOFIN,RVNL,0.397853
JSWSTEEL,NMDC,0.397646
NHPC,TATAPOWER,0.397548
HAL,RVNL,0.39745
LTM,MPHASIS,0.397112
HINDALCO,JSWSTEEL,0.396694
LTM,TECHM,0.396614
GRSE,ZENTEC,0.396409
IREDA,TATAPOWER,0.396259
INFY,MPHASIS,0.396218
MPHASIS,WIPRO,0.395358
HDFCLIFE,SBILIFE,0.395119
CANBK,PFC,0.394913
HEROMOTOCO,M&M,0.394909
CAMS,CDSL,0.39422
RITES,RVNL,0.394162
KAYNES,PGEL,0.394161
CDSL,RECLTD,0.393646
BANKINDIA,CENTRALBK,0.393329
BAJAJ-AUTO,M&M,0.392923
PERSISTENT,TATAELXSI,0.392855
JSWENERGY,TATAPOWER,0.392642
INDIANB,SBIN,0.39263
CDSL,MAZDOCK,0.392601
GAIL,IOC,0.392019
BDL,IRFC,0.391849
BANKINDIA,RECLTD,0.391765
BHEL,MAZDOCK,0.391084
HINDZINC,TATASTEEL,0.39092
CENTRALBK,MAHABANK,0.390859
GODREJPROP,NBCC,0.390338
PFC,TATAPOWER,0.390336
M&M,TMPV,0.390232
HUDCO,RVNL,0.389752
CENTRALBK,IOB,0.38967
PNB,RECLTD,0.389604
BANKINDIA,MAHABANK,0.389549
ABB,SIEMENS,0.388979
IRCON,MAZDOCK,0.388961
ABCAPITAL,IREDA,0.388821
CDSL,RVNL,0.388454
CANBK,IREDA,0.38833
HEROMOTOCO,MARUTI,0.388275
NBCC,PFC,0.38769
CANBK,CENTRALBK,0.387585
HCLTECH,MPHASIS,0.387553
CENTRALBK,PNB,0.387165
BDL,SUZLON,0.385908
JIOFIN,MAZDOCK,0.385495
LTM,TCS,0.385245
JINDALSTEL,NATIONALUM,0.385228
LTM,WIPRO,0.384845
BANKINDIA,IREDA,0.38477
HDFCBANK,ICICIBANK,0.384669
IRFC,RITES,0.383879
INFY,LTM,0.383805
BANKBARODA,RECLTD,0.38336
BEL,BHEL,0.382962
TATAELXSI,TATATECH,0.382889
NTPC,TATAPOWER,0.382174
BANKINDIA,RBLBANK,0.381874
HCLTECH,LTM,0.381823
OFSS,TECHM,0.381607
RAILTEL,RITES,0.381538
JINDALSTEL,SAIL,0.381416
BEML,DATAPATTNS,0.381396
DLF,IRFC,0.381232
OFSS,WIPRO,0.380905
ADANIGREEN,IREDA,0.380793
IREDA,SJVN,0.38067
ETERNAL,SWIGGY,0.380637
DLF,RECLTD,0.380508
DLF,JIOFIN,0.380488
INOXWIND,JIOFIN,0.380145
ADANIENSOL,TATAPOWER,0.37992
INOXWIND,RECLTD,0.379746
CENTRALBK,UCOBANK,0.379701
GAIL,TATAPOWER,0.379404
MPHASIS,TATAELXSI,0.379384
MAZDOCK,ZENTEC,0.379303
IRCTC,IREDA,0.379088
JIOFIN,SUZLON,0.378991
BAJFINANCE,CHOLAFIN,0.378889
TATAELXSI,WIPRO,0.378835
BDL,INOXWIND,0.37871
GODREJPROP,IREDA,0.37837
AMBER,DIXON,0.378261
GRSE,RVNL,0.378209
TATAELXSI,TCS,0.378039
ADANIENT,ADANIPOWER,0.377959
COCHINSHIP,NBCC,0.377771
IREDA,NHPC,0.377728
HAL,NBCC,0.377585
OFSS,TCS,0.377489
ADANIENT,JIOFIN,0.377363
JIOFIN,PFC,0.376946
IREDA,TITAGARH,0.376722
KPITTECH,MPHASIS,0.37657
ABCAPITAL,JIOFIN,0.376459
CANBK,JIOFIN,0.376397
KPITTECH,OFSS,0.376394
BANKINDIA,PFC,0.375985
HINDALCO,JINDALSTEL,0.375696
BAJFINANCE,SHRIRAMFIN,0.375688
KPITTECH,PERSISTENT,0.375522
BHEL,INOXWIND,0.37519
POWERGRID,TATAPOWER,0.374812
MAHABANK,PNB,0.374704
ADANIPORTS,AMBUJACEM,0.374671
TATAELXSI,TECHM,0.374637
PFC,PNB,0.374505
ADANIGREEN,NHPC,0.374404
NBCC,TATAPOWER,0.374002
CDSL,DLF,0.3739
IREDA,LICHSGFIN,0.373762
BANKBARODA,CENTRALBK,0.37358
BHEL,IREDA,0.3733
PNB,YESBANK,0.373204
INFY,OFSS,0.373204
MAZDOCK,TITAGARH,0.373051
PFC,RVNL,0.372992
HUDCO,PFC,0.372813
IREDA,PNB,0.372777
ADANIGREEN,JSWENERGY,0.372564
DIXON,KAYNES,0.372509
CANBK,MAHABANK,0.372421
ADANIENT,TATAPOWER,0.372296
GMRAIRPORT,IREDA,0.372216
ADANIENT,IREDA,0.372109
BEL,NBCC,0.37202
IRFC,TATAPOWER,0.371637
CDSL,INOXWIND,0.371488
BHEL,SUZLON,0.371319
RECLTD,SUZLON,0.371279
RAILTEL,TITAGARH,0.370959
IREDA,LTF,0.370736
MARUTI,TVSMOTOR,0.370618
HAL,SOLARINDS,0.37055
BANKINDIA,YESBANK,0.370543
BHEL,NBCC,0.370276
CDSL,KFINTECH,0.370041
CANBK,YESBANK,0.369951
CENTRALBK,UNIONBANK,0.369848
BAJAJ-AUTO,MARUTI,0.369765
MAHABANK,UNIONBANK,0.369691
IOC,PETRONET,0.369685
COCHINSHIP,IREDA,0.36933
CANBK,RBLBANK,0.36909
BDL,CDSL,0.368646
NBCC,RAILTEL,0.368497
LAURUSLABS,ZYDUSLIFE,0.367991
JIOFIN,TATAPOWER,0.367753
ABCAPITAL,BANKINDIA,0.367562
DLF,RVNL,0.367425
RECLTD,UNIONBANK,0.367274
CGPOWER,NBCC,0.367266
LTM,OFSS,0.367253
LUPIN,ZYDUSLIFE,0.367211
IREDA,JWL,0.367136
ADANIGREEN,ATGL,0.367049
HCLTECH,OFSS,0.366976
BDL,BHEL,0.366688
ABCAPITAL,CANBK,0.366683
IRFC,NHPC,0.366255
BSE,IREDA,0.366146
ABCAPITAL,RECLTD,0.366087
JINDALSTEL,VEDL,0.36594
PHOENIXLTD,PRESTIGE,0.365798
COCHINSHIP,IRCON,0.365584
CANBK,NBCC,0.365499
BANKINDIA,NBCC,0.365461
CDSL,PFC,0.364754
IRFC,SJVN,0.364686
LICHSGFIN,RECLTD,0.364641
BANKINDIA,IRFC,0.364606
CDSL,HUDCO,0.364574
BEL,IRFC,0.364386
INOXWIND,IRCON,0.3642
MANAPPURAM,MUTHOOTFIN,0.363974
ADANIGREEN,AMBUJACEM,0.36378
BANDHANBNK,BANKINDIA,0.363671
BAJFINANCE,JIOFIN,0.363546
MARUTI,TMPV,0.363522
COFORGE,TATATECH,0.363201
BANKINDIA,JIOFIN,0.362842
JIOFIN,PNB,0.362682
CGPOWER,HAL,0.362668
ADANIPORTS,JIOFIN,0.362591
LTF,SHRIRAMFIN,0.362558
ANGELONE,IREDA,0.362426
CONCOR,IREDA,0.362213
PNB,RBLBANK,0.361995
MAZDOCK,RECLTD,0.361881
CGPOWER,RVNL,0.361857
LTM,TATAELXSI,0.361669
COCHINSHIP,ZENTEC,0.361652
