pair,wc_adf_stat,wc_pval,dr_adf_stat,dr_pval,ols_adf_stat,ols_pval
GAIL-TATAPOWER,-9.1051,0.0,-12.1433,0.0,-1.3115,0.623905
MPHASIS-TATAELXSI,-14.0216,0.0,-14.2117,0.0,-1.7236,0.419019
MAZDOCK-ZENTEC,-10.9622,0.0,-11.5648,0.0,-2.6487,0.083342
IRCTC-IREDA,-9.7377,0.0,-9.9253,0.0,-1.1113,0.710538
JIOFIN-SUZLON,-10.4724,0.0,-11.2059,0.0,-1.3169,0.621416
BAJFINANCE-CHOLAFIN,-10.2879,0.0,-10.7597,0.0,-1.6719,0.445644
TATAELXSI-WIPRO,-8.6358,0.0,-11.7633,0.0,-1.3815,0.591105
BDL-INOXWIND,-9.5896,0.0,-10.4668,0.0,-1.5693,0.499014
GODREJPROP-IREDA,-8.2344,0.0,-8.3165,0.0,-1.1594,0.690817
AMBER-DIXON,-6.8194,0.0,-7.2383,0.0,-0.7393,0.836305
GRSE-RVNL,-9.684,0.0,-10.1332,0.0,-1.3041,0.627304
TATAELXSI-TCS,-9.5495,0.0,-12.3587,0.0,-1.831,0.365189
ADANIENT-ADANIPOWER,-10.4563,0.0,-12.3959,0.0,-1.2436,0.654584
COCHINSHIP-NBCC,-9.5919,0.0,-12.997,0.0,-1.025,0.744055
IREDA-NHPC,-13.7852,0.0,-15.4922,0.0,-1.7466,0.40728
HAL-NBCC,-9.6686,0.0,-10.2247,0.0,-0.6085,0.86905
OFSS-TCS,-10.8145,0.0,-11.2562,0.0,-1.3153,0.622128
ADANIENT-JIOFIN,-9.41,0.0,-14.5312,0.0,1.0154,0.994426
JIOFIN-PFC,-10.113,0.0,-10.3355,0.0,-1.6574,0.453172
IREDA-TITAGARH,-10.3687,0.0,-11.3676,0.0,-1.5727,0.497311
KPITTECH-MPHASIS,-11.913,0.0,-13.4505,0.0,-1.0419,0.737695
ABCAPITAL-JIOFIN,-16.4838,0.0,-16.6824,0.0,-0.9641,0.76614
CANBK-JIOFIN,-11.5805,0.0,-12.8751,0.0,-1.2692,0.643147
KPITTECH-OFSS,-11.9521,0.0,-13.3444,0.0,-2.0702,0.256653
BANKINDIA-PFC,-8.4411,0.0,-10.5594,0.0,-2.1992,0.206526
HINDALCO-JINDALSTEL,-9.5975,0.0,-13.4443,0.0,-0.6965,0.847666
BAJFINANCE-SHRIRAMFIN,-12.9127,0.0,-13.7234,0.0,-1.2913,0.633138
KPITTECH-PERSISTENT,-10.5915,0.0,-11.6208,0.0,-1.0998,0.715141
BHEL-INOXWIND,-8.8445,0.0,-10.3033,0.0,0.5164,0.985365
POWERGRID-TATAPOWER,-11.2121,0.0,-14.7419,0.0,-0.957,0.768623
MAHABANK-PNB,-10.4915,0.0,-11.2023,0.0,-1.3918,0.586181
ADANIPORTS-AMBUJACEM,-10.6653,0.0,-11.0691,0.0,-0.4675,0.89821
TATAELXSI-TECHM,-8.9536,0.0,-10.2634,0.0,-1.5006,0.533229
PFC-PNB,-8.6437,0.0,-9.0289,0.0,-1.1935,0.676379
ADANIGREEN-NHPC,-9.242,0.0,-10.0413,0.0,-0.5798,0.875481
NBCC-TATAPOWER,-8.6744,0.0,-9.2528,0.0,-1.348,0.606926
CDSL-DLF,-12.9856,0.0,-14.7249,0.0,-2.4516,0.127693
IREDA-LICHSGFIN,-8.9666,0.0,-9.6151,0.0,-1.3102,0.624487
BANKBARODA-CENTRALBK,-11.6031,0.0,-12.1905,0.0,-1.3803,0.591694
BHEL-IREDA,-8.3981,0.0,-8.726,0.0,0.7966,0.991581
PNB-YESBANK,-9.7342,0.0,-10.9224,0.0,-1.0134,0.748353
INFY-OFSS,-12.6184,0.0,-14.1763,0.0,-2.075,0.254668
MAZDOCK-TITAGARH,-9.7394,0.0,-11.5323,0.0,-1.4039,0.580382
PFC-RVNL,-9.7875,0.0,-12.3047,0.0,-0.8748,0.796144
HUDCO-PFC,-10.0004,0.0,-10.9928,0.0,-1.9895,0.291191
IREDA-PNB,-9.0869,0.0,-9.2654,0.0,-1.6697,0.446789
ADANIGREEN-JSWENERGY,-9.5807,0.0,-9.6619,0.0,-0.6238,0.865501
DIXON-KAYNES,-9.2499,0.0,-9.8899,0.0,-1.2707,0.642467
CANBK-MAHABANK,-12.3646,0.0,-13.5575,0.0,-1.3622,0.60026
ADANIENT-TATAPOWER,-9.329,0.0,-11.0328,0.0,-0.0439,0.954752
GMRAIRPORT-IREDA,-9.5452,0.0,-10.3288,0.0,-0.995,0.755098
ADANIENT-IREDA,-7.0658,0.0,-7.4773,0.0,0.6208,0.988117
BEL-NBCC,-10.898,0.0,-12.0626,0.0,-1.2065,0.670797
IRFC-TATAPOWER,-9.168,0.0,-10.1133,0.0,-2.2113,0.20216
CDSL-INOXWIND,-11.1503,0.0,-15.4233,0.0,-1.5903,0.488486
BHEL-SUZLON,-8.7035,0.0,-10.0286,0.0,2.77,1.0
RECLTD-SUZLON,-8.2266,0.0,-9.1439,0.0,-2.1484,0.225494
RAILTEL-TITAGARH,-13.3228,0.0,-19.2404,0.0,-1.0229,0.744832
IREDA-LTF,-9.6544,0.0,-10.0549,0.0,-1.7078,0.427104
MARUTI-TVSMOTOR,-12.1368,0.0,-12.9167,0.0,-1.5635,0.501897
HAL-SOLARINDS,-9.6704,0.0,-10.2444,0.0,-1.0841,0.721367
BANKINDIA-YESBANK,-9.6663,0.0,-10.243,0.0,-1.3668,0.598079
BHEL-NBCC,-8.6704,0.0,-10.8764,0.0,-1.1639,0.688928
CDSL-KFINTECH,-11.2126,0.0,-13.7505,0.0,-1.9204,0.322517
CANBK-YESBANK,-9.6598,0.0,-9.8603,0.0,-1.4273,0.569103
CENTRALBK-UNIONBANK,-12.7501,0.0,-13.2588,0.0,-0.98,0.760498
BAJAJ-AUTO-MARUTI,-12.1498,0.0,-13.3759,0.0,-1.2329,0.659272
MAHABANK-UNIONBANK,-12.4363,0.0,-15.3696,0.0,-1.1316,0.702313
IOC-PETRONET,-10.6829,0.0,-11.4514,0.0,-2.4555,0.126677
COCHINSHIP-IREDA,-9.0151,0.0,-9.4264,0.0,-1.3978,0.583315
CANBK-RBLBANK,-9.6813,0.0,-10.2622,0.0,-1.4344,0.565698
BDL-CDSL,-8.4319,0.0,-10.3944,0.0,-1.2938,0.631987
NBCC-RAILTEL,-10.5399,0.0,-11.8054,0.0,-0.9419,0.773869
LAURUSLABS-ZYDUSLIFE,-9.7188,0.0,-10.4555,0.0,-2.4122,0.138323
JIOFIN-TATAPOWER,-10.5922,0.0,-11.509,0.0,-1.664,0.449741
ABCAPITAL-BANKINDIA,-9.669,0.0,-11.0042,0.0,-1.1267,0.704293
DLF-RVNL,-10.0453,0.0,-11.203,0.0,-1.5472,0.510046
RECLTD-UNIONBANK,-9.6165,0.0,-10.3375,0.0,-0.9045,0.786487
CGPOWER-NBCC,-9.9089,0.0,-12.1943,0.0,-1.6112,0.477323
LTM-OFSS,-13.7204,0.0,-16.0606,0.0,-2.4284,0.13388
LUPIN-ZYDUSLIFE,-10.6269,0.0,-11.8482,0.0,-1.3293,0.615656
IREDA-JWL,-10.5072,0.0,-11.3594,0.0,-1.2649,0.645085
ADANIGREEN-ATGL,-11.0828,0.0,-11.2103,0.0,-0.3043,0.9249
HCLTECH-OFSS,-10.5312,0.0,-12.0711,0.0,-1.4353,0.565227
BDL-BHEL,-7.3647,0.0,-7.5469,0.0,-1.4453,0.560363
ABCAPITAL-CANBK,-11.2834,0.0,-12.1198,0.0,-2.2098,0.202704
IRFC-NHPC,-10.9853,0.0,-12.3172,0.0,-3.3307,0.013561
BSE-IREDA,-8.2423,0.0,-8.8095,0.0,0.6956,0.98975
ABCAPITAL-RECLTD,-11.2755,0.0,-11.4497,0.0,-0.9174,0.7822
JINDALSTEL-VEDL,-9.3115,0.0,-15.7621,0.0,-1.2426,0.65499
PHOENIXLTD-PRESTIGE,-12.7884,0.0,-13.6914,0.0,-3.9432,0.001739
COCHINSHIP-IRCON,-11.6853,0.0,-11.8077,0.0,-1.4071,0.578868
CANBK-NBCC,-9.1642,0.0,-9.7795,0.0,-0.9537,0.769784
BANKINDIA-NBCC,-8.8024,0.0,-9.7219,0.0,-1.1838,0.680536
CDSL-PFC,-12.3482,0.0,-12.7354,0.0,-1.3841,0.589888
IRFC-SJVN,-8.9132,0.0,-11.2098,0.0,-1.4262,0.569629
LICHSGFIN-RECLTD,-8.977,0.0,-9.1513,0.0,-1.562,0.502629
BANKINDIA-IRFC,-8.6886,0.0,-9.4538,0.0,-1.1275,0.703997
CDSL-HUDCO,-9.8695,0.0,-10.0939,0.0,-1.0897,0.71917
BEL-IRFC,-12.3227,0.0,-12.7724,0.0,-1.165,0.688482
INOXWIND-IRCON,-10.203,0.0,-12.5019,0.0,-2.1432,0.227498
MANAPPURAM-MUTHOOTFIN,-10.8048,0.0,-10.9458,0.0,-1.5124,0.52738
ADANIGREEN-AMBUJACEM,-10.1765,0.0,-10.2825,0.0,-0.4369,0.903758
BANDHANBNK-BANKINDIA,-8.0474,0.0,-8.2533,0.0,-0.8195,0.813326
BAJFINANCE-JIOFIN,-11.5888,0.0,-14.5466,0.0,-1.4976,0.534686
MARUTI-TMPV,-11.4702,0.0,-12.1888,0.0,-1.2672,0.644038
COFORGE-TATATECH,-8.6026,0.0,-9.0009,0.0,-1.3281,0.616229
BANKINDIA-JIOFIN,-11.5523,0.0,-12.3102,0.0,-1.3997,0.582404
JIOFIN-PNB,-9.3522,0.0,-9.4178,0.0,-1.4614,0.55253
CGPOWER-HAL,-8.6587,0.0,-9.9006,0.0,-1.2035,0.672086
ADANIPORTS-JIOFIN,-11.0006,0.0,-15.752,0.0,0.1506,0.96935
LTF-SHRIRAMFIN,-15.5399,0.0,-19.3678,0.0,-1.656,0.453938
ANGELONE-IREDA,-7.7701,0.0,-8.0683,0.0,-0.8574,0.80167
CONCOR-IREDA,-9.5939,0.0,-10.2325,0.0,-0.5765,0.876212
PNB-RBLBANK,-9.4631,0.0,-10.6057,0.0,-1.4575,0.554399
MAZDOCK-RECLTD,-9.4598,0.0,-9.7311,0.0,-1.7875,0.386685
CGPOWER-RVNL,-10.1693,0.0,-10.5213,0.0,-0.93,0.777922
LTM-TATAELXSI,-10.2678,0.0,-17.7075,0.0,-1.9068,0.328852
COCHINSHIP-ZENTEC,-10.9369,0.0,-13.5019,0.0,-2.077,0.253863
BHARATFORG-MOTHERSON,-12.771,0.0,-14.6135,0.0,-1.3265,0.616951
GLENMARK-LAURUSLABS,-11.8388,0.0,-14.2489,0.0,-0.7066,0.84503
NBCC-TITAGARH,-10.5879,0.0,-10.8158,0.0,-0.9152,0.782933
HEROMOTOCO-MOTHERSON,-10.0634,0.0,-11.0912,0.0,-4.8543,4.3e-05
JIOFIN-LTF,-8.9371,0.0,-9.8984,0.0,-1.247,0.653048
INFY-TATAELXSI,-11.4492,0.0,-12.9737,0.0,-1.1597,0.690685
AUROPHARMA-LUPIN,-12.6177,0.0,-13.57,0.0,-1.4385,0.56368
BEL-SOLARINDS,-13.4312,0.0,-14.6255,0.0,0.0684,0.963834
LODHA-PHOENIXLTD,-9.9364,0.0,-13.301,0.0,-2.3889,0.144894
HINDCOPPER-VEDL,-12.0489,0.0,-12.4603,0.0,-1.4608,0.552803
CGPOWER-MAZDOCK,-8.6242,0.0,-9.4334,0.0,-1.3151,0.622246
JIOFIN-RELIANCE,-13.7224,0.0,-15.1309,0.0,-1.4424,0.561784
HAL-IREDA,-8.577,0.0,-8.9217,0.0,-1.0615,0.730193
CDSL-TATAPOWER,-10.4434,0.0,-11.0637,0.0,-2.8387,0.052959
IRCTC-RVNL,-11.0303,0.0,-11.6495,0.0,-1.6042,0.481501
HEROMOTOCO-TMPV,-10.8394,0.0,-11.5878,0.0,-2.1035,0.243124
UNIONBANK-YESBANK,-9.4581,0.0,-10.0621,0.0,-1.176,0.683817
CDSL-LTF,-9.5483,0.0,-10.1872,0.0,-1.78,0.390453
CHOLAFIN-SHRIRAMFIN,-13.7916,0.0,-14.1213,0.0,-1.5112,0.52797
COCHINSHIP-IRFC,-12.5721,0.0,-13.496,0.0,-1.3518,0.605177
BSE-JIOFIN,-10.203,0.0,-12.9506,0.0,0.3464,0.979375
CDSL-SUZLON,-9.7033,0.0,-11.1638,0.0,-1.1698,0.686437
BANKBARODA-MAHABANK,-11.7894,0.0,-15.4224,0.0,-1.1385,0.699471
DLF-PFC,-9.7883,0.0,-10.8573,0.0,-2.2114,0.202134
CAMS-IREDA,-8.5548,0.0,-8.6497,0.0,-0.8872,0.792152
GLENMARK-ZYDUSLIFE,-11.831,0.0,-13.1819,0.0,-1.5782,0.494543
BDL-ZENTEC,-9.6475,0.0,-10.0876,0.0,-2.3395,0.159542
ABCAPITAL-CDSL,-15.8116,0.0,-18.8416,0.0,-0.8327,0.809337
CDSL-HDFCAMC,-9.5381,0.0,-12.2703,0.0,-2.4641,0.124466
JIOFIN-TMPV,-10.6444,0.0,-10.6774,0.0,-1.7917,0.384597
BHEL-RVNL,-8.9686,0.0,-9.1376,0.0,-0.7712,0.827436
BDL-IRCON,-10.238,0.0,-10.6406,0.0,-1.1957,0.675422
DIXON-KALYANKJIL,-11.4486,0.0,-11.7075,0.0,-1.5635,0.501874
ADANIENT-NBCC,-7.7872,0.0,-12.458,0.0,-0.9828,0.759479
BANKINDIA-IDBI,-11.0624,0.0,-11.8589,0.0,-1.4834,0.541709
LTF-RECLTD,-10.4301,0.0,-11.4083,0.0,-1.4629,0.551779
HUDCO-INOXWIND,-11.2483,0.0,-11.5746,0.0,-1.5299,0.518654
BEML-IRCON,-13.4389,0.0,-14.8158,0.0,-0.7151,0.842804
BANKINDIA-LTF,-9.6549,0.0,-10.5151,0.0,-1.1824,0.681117
CANBK-IRFC,-9.6404,0.0,-10.9461,0.0,-1.2816,0.637541
IOB-MAHABANK,-12.7194,0.0,-18.588,0.0,-2.6294,0.087066
IDFCFIRSTB-PNB,-9.9585,0.0,-10.2672,0.0,-1.3397,0.610841
BDL-JIOFIN,-9.3112,0.0,-9.8631,0.0,-1.6726,0.445299
CANBK-LTF,-10.7035,0.0,-11.6227,0.0,-2.0623,0.259934
HAL-IRFC,-11.4166,0.0,-12.5479,0.0,-1.6069,0.480136
HCLTECH-TATAELXSI,-13.9222,0.0,-15.9287,0.0,-1.3772,0.593159
JSWENERGY-NHPC,-10.6969,0.0,-11.8588,0.0,-1.0882,0.719755
INDHOTEL-JIOFIN,-15.658,0.0,-17.2924,0.0,-0.9793,0.760739
BEL-JIOFIN,-11.6395,0.0,-12.75,0.0,-1.8665,0.347984
CANBK-IDFCFIRSTB,-11.0047,0.0,-13.9655,0.0,-0.8035,0.818104
ADANIENSOL-JSWENERGY,-9.7754,0.0,-9.9445,0.0,-1.3023,0.62813
AUROPHARMA-ZYDUSLIFE,-11.4827,0.0,-12.8428,0.0,-1.538,0.514632
GRSE-NBCC,-10.0224,0.0,-11.0814,0.0,-0.9739,0.762671
JWL-MAZDOCK,-9.094,0.0,-10.4504,0.0,-1.3101,0.624534
ABCAPITAL-PFC,-12.5755,0.0,-14.0959,0.0,-1.1928,0.676685
BANKBARODA-PFC,-8.5707,0.0,-11.2204,0.0,-1.6269,0.469105
JWL-RITES,-14.3854,0.0,-15.8602,0.0,-2.4161,0.137233
KPITTECH-TCS,-11.2789,0.0,-11.4627,0.0,-3.0262,0.032515
IREDA-JSWENERGY,-10.8007,0.0,-10.8115,0.0,-1.576,0.49562
DIVISLAB-LAURUSLABS,-10.3535,0.0,-12.9335,0.0,-1.5345,0.516383
GMRAIRPORT-NBCC,-11.1892,0.0,-14.8499,0.0,-1.3007,0.628872
JIOFIN-LT,-10.4151,0.0,-11.1163,0.0,-0.675,0.853128
EXIDEIND-IREDA,-8.1415,0.0,-8.3768,0.0,-1.2741,0.640939
GRSE-IRCON,-10.0114,0.0,-10.4847,0.0,-1.5144,0.526353
DLF-MAZDOCK,-10.0261,0.0,-11.475,0.0,-1.5347,0.516297
BHEL-IRFC,-8.8924,0.0,-9.8613,0.0,-1.1123,0.710143
CGPOWER-IREDA,-8.8264,0.0,-9.4716,0.0,-0.8222,0.812504
GODREJPROP-IRFC,-8.9385,0.0,-9.1131,0.0,-1.2745,0.640766
ADANIPOWER-ATGL,-11.1657,0.0,-13.2841,0.0,-1.1435,0.697435
INDHOTEL-IREDA,-9.4426,0.0,-10.2281,0.0,-0.9319,0.777278
CANBK-FEDERALBNK,-11.6241,0.0,-12.0058,0.0,-1.3049,0.626919
BIOCON-LAURUSLABS,-10.4581,0.0,-11.3499,0.0,-0.455,0.900504
EXIDEIND-NBCC,-8.2837,0.0,-10.5985,0.0,-2.1408,0.228441
GRSE-IRFC,-10.7724,0.0,-12.0979,0.0,-1.2059,0.671054
HINDZINC-JINDALSTEL,-7.6167,0.0,-9.4396,0.0,-2.5091,0.113271
AMBUJACEM-ULTRACEMCO,-15.7369,0.0,-16.9551,0.0,-1.0561,0.732266
BANKBARODA-IREDA,-7.796,0.0,-7.9789,0.0,-1.4384,0.563735
ADANIPORTS-GMRAIRPORT,-10.5639,0.0,-10.6042,0.0,-1.0573,0.731807
LODHA-NBCC,-9.3779,0.0,-10.3524,0.0,-1.7817,0.389606
ABCAPITAL-IRFC,-12.9877,0.0,-13.009,0.0,-1.4744,0.546141
ABCAPITAL-PNB,-10.5424,0.0,-11.2939,0.0,-1.8587,0.351718
