pair,wc_adf_stat,wc_pval,dr_adf_stat,dr_pval,ols_adf_stat,ols_pval
COFORGE-MPHASIS,-10.5166,0.0,-14.2692,0.0,-0.0993,0.94951
ABCAPITAL-LTF,-13.6404,0.0,-15.3453,0.0,-1.9632,0.30293
GRSE-HAL,-9.4748,0.0,-11.0075,0.0,-2.101,0.244103
NATIONALUM-NMDC,-8.401,0.0,-9.3012,0.0,-1.6721,0.445529
DLF-OBEROIRLTY,-11.7159,0.0,-13.5399,0.0,-1.5586,0.504364
JBCHEPHARM-TORNTPHARM,-29.942,0.0,-47.4667,0.0,-1.7172,0.42225
GODREJPROP-OBEROIRLTY,-12.6935,0.0,-13.5811,0.0,-2.3075,0.169564
IRFC-RECLTD,-9.1885,0.0,-9.7759,0.0,-2.186,0.211358
RAILTEL-RVNL,-16.2235,0.0,-17.2921,0.0,-1.3063,0.626276
BSE-MCX,-11.0392,0.0,-11.9071,0.0,-1.3831,0.59035
HCLTECH-WIPRO,-10.8076,0.0,-13.7978,0.0,-1.3719,0.595666
MAZDOCK-RVNL,-10.3221,0.0,-11.208,0.0,-1.2696,0.64295
INOXWIND-SUZLON,-10.2393,0.0,-11.3229,0.0,-2.505,0.114273
INOXWIND-IREDA,-8.766,0.0,-9.0199,0.0,-1.475,0.545827
HUDCO-IREDA,-8.6765,0.0,-9.2045,0.0,-1.7506,0.405272
PNB-SBIN,-9.3734,0.0,-10.9798,0.0,-1.0072,0.750619
COFORGE-INFY,-9.6088,0.0,-10.1829,0.0,-3.2646,0.016539
TECHM-WIPRO,-15.0921,0.0,-15.21,0.0,-1.3902,0.586977
MPHASIS-PERSISTENT,-14.7951,0.0,-18.2077,0.0,-1.6317,0.466614
IRFC-RAILTEL,-16.2386,0.0,-18.5935,0.0,-1.6136,0.476109
SAIL-TATASTEEL,-13.4047,0.0,-19.5507,0.0,-0.4097,0.90847
COFORGE-TECHM,-8.1992,0.0,-9.4247,0.0,-2.801,0.058125
BAJAJFINSV-BAJFINANCE,-14.8265,0.0,-18.3172,0.0,-1.4191,0.573082
CDSL-IREDA,-9.4137,0.0,-9.9651,0.0,-1.2396,0.656329
ANGELONE-BSE,-7.7089,0.0,-8.002,0.0,-1.6174,0.474108
COFORGE-TCS,-9.9748,0.0,-10.8424,0.0,-2.3622,0.152678
BDL-DATAPATTNS,-8.116,0.0,-8.5353,0.0,-1.0315,0.741599
COCHINSHIP-DATAPATTNS,-9.0386,0.0,-10.0389,0.0,-0.4249,0.905859
BANKINDIA-SBIN,-11.8983,0.0,-13.6929,0.0,-0.7425,0.835422
ADANIGREEN-ADANIPORTS,-13.383,0.0,-14.1909,0.0,-1.9069,0.328818
INOXWIND-NBCC,-10.3335,0.0,-13.5351,0.0,-1.888,0.337706
HEROMOTOCO-TVSMOTOR,-11.0162,0.0,-11.8111,0.0,-1.5761,0.495606
IREDA-PFC,-12.4127,0.0,-13.8736,0.0,-1.585,0.491127
JINDALSTEL-JSWSTEEL,-10.8059,0.0,-12.2113,0.0,0.2691,0.975882
LODHA-PRESTIGE,-13.438,0.0,-17.97,0.0,-1.5952,0.486012
JINDALSTEL-NMDC,-10.2784,0.0,-12.3472,0.0,-1.4639,0.551268
IREDA-JIOFIN,-11.3145,0.0,-12.9879,0.0,-1.5099,0.528621
HINDCOPPER-HINDZINC,-8.629,0.0,-14.038,0.0,-1.4421,0.561934
IRCON-RITES,-21.1249,0.0,-22.1097,0.0,-1.7209,0.42037
IRFC-MAZDOCK,-10.0027,0.0,-11.8446,0.0,-1.5358,0.515718
IRCON-TITAGARH,-11.0813,0.0,-12.0088,0.0,-1.5914,0.487912
HINDALCO-HINDZINC,-11.5899,0.0,-13.7869,0.0,-0.9747,0.762374
COFORGE-WIPRO,-10.2254,0.0,-11.3866,0.0,-2.1007,0.244227
IRCON-IREDA,-10.7076,0.0,-13.4994,0.0,-2.3916,0.144115
IREDA-SUZLON,-10.7224,0.0,-12.1207,0.0,-2.1599,0.221134
ANGELONE-CDSL,-9.033,0.0,-11.5688,0.0,-0.9193,0.781555
NATIONALUM-TATASTEEL,-12.4806,0.0,-14.6845,0.0,-1.1396,0.699008
CDSL-IRFC,-9.4503,0.0,-10.3742,0.0,-1.892,0.335839
EICHERMOT-HEROMOTOCO,-9.4405,0.0,-13.0089,0.0,-1.2762,0.639986
HUDCO-NBCC,-11.7427,0.0,-13.2936,0.0,-1.0786,0.723538
OBEROIRLTY-PRESTIGE,-11.0509,0.0,-15.9367,0.0,-1.8579,0.352137
NTPC-POWERGRID,-10.9537,0.0,-17.7635,0.0,-1.83,0.365665
COFORGE-HCLTECH,-9.4202,0.0,-11.3699,0.0,-0.0577,0.953496
HUDCO-IRFC,-10.7238,0.0,-12.0936,0.0,-2.0423,0.268323
ADANIGREEN-ADANIPOWER,-9.5813,0.0,-9.8776,0.0,-1.1665,0.687854
BAJAJ-AUTO-HEROMOTOCO,-10.1737,0.0,-13.5152,0.0,-1.5941,0.486561
TATASTEEL-VEDL,-10.0382,0.0,-12.8034,0.0,-1.4649,0.550807
COFORGE-OFSS,-9.5654,0.0,-14.0706,0.0,-1.8191,0.371011
SBIN-UNIONBANK,-9.3941,0.0,-10.4328,0.0,-0.4828,0.895321
MAZDOCK-NBCC,-9.4019,0.0,-11.8147,0.0,-1.2879,0.634671
COFORGE-LTM,-12.8594,0.0,-18.3043,0.0,-1.338,0.611593
IREDA-MAZDOCK,-10.1758,0.0,-11.3458,0.0,-1.2968,0.630644
INOXWIND-IRFC,-9.8229,0.0,-11.3626,0.0,-1.9578,0.305356
JWL-TITAGARH,-14.0771,0.0,-16.2442,0.0,-2.5066,0.113869
BEML-COCHINSHIP,-11.3135,0.0,-14.3839,0.0,-0.7298,0.838868
PERSISTENT-TECHM,-11.6371,0.0,-12.6507,0.0,-1.1965,0.6751
BEL-COCHINSHIP,-11.4945,0.0,-13.4809,0.0,-1.6424,0.461014
RVNL-TITAGARH,-12.4142,0.0,-15.8769,0.0,-1.4756,0.545528
IRFC-PFC,-11.0926,0.0,-13.2473,0.0,-2.0507,0.264798
JWL-RVNL,-11.5118,0.0,-13.6501,0.0,-2.1189,0.236995
BEML-MAZDOCK,-10.5405,0.0,-10.7914,0.0,-0.9923,0.756052
BDL-RVNL,-9.9776,0.0,-10.1911,0.0,-1.176,0.683832
NMDC-VEDL,-13.9303,0.0,-14.7156,0.0,-0.8969,0.788993
COCHINSHIP-HAL,-10.5302,0.0,-11.3036,0.0,-2.0845,0.250794
BEML-GRSE,-10.2817,0.0,-11.0908,0.0,-1.5339,0.516684
IRFC-SUZLON,-8.9741,0.0,-9.6471,0.0,-2.1913,0.209432
NBCC-RECLTD,-8.4476,0.0,-8.9934,0.0,-1.5994,0.483915
CDSL-NBCC,-10.7443,0.0,-15.5331,0.0,-1.7653,0.397809
BAJAJ-AUTO-EICHERMOT,-10.0404,0.0,-11.7597,0.0,-1.0388,0.738864
EICHERMOT-TVSMOTOR,-12.767,0.0,-14.5749,0.0,-0.9815,0.75996
MAZDOCK-SUZLON,-10.1023,0.0,-11.5451,0.0,-1.2799,0.638317
LODHA-OBEROIRLTY,-9.2214,0.0,-10.811,0.0,-1.4523,0.556971
JIOFIN-NBCC,-10.5564,0.0,-11.9242,0.0,-2.118,0.237356
M&M-MARUTI,-16.7558,0.0,-17.5643,0.0,-3.9988,0.001417
JBMA-OLECTRA,-13.3748,0.0,-14.9008,0.0,-1.7166,0.422571
ADANIENT-AMBUJACEM,-10.2727,0.0,-11.0364,0.0,0.1539,0.969554
OFSS-PERSISTENT,-12.2772,0.0,-13.027,0.0,-1.0453,0.73639
PREMIERENE-WAAREEENER,-12.5496,0.0,-13.4867,0.0,-1.33,0.615321
NBCC-SUZLON,-9.5804,0.0,-9.6099,0.0,-1.0305,0.74198
MPHASIS-TECHM,-10.9701,0.0,-13.8199,0.0,-1.4781,0.544329
MAZDOCK-SOLARINDS,-10.4285,0.0,-11.3614,0.0,-0.8494,0.804171
IRFC-JIOFIN,-8.1047,0.0,-10.6669,0.0,-2.1162,0.238058
HINDCOPPER-NATIONALUM,-14.0474,0.0,-16.6713,0.0,-1.3293,0.615652
CDSL-JIOFIN,-11.07,0.0,-14.5505,0.0,-1.8835,0.339883
IDEA-INDUSTOWER,-10.1846,0.0,-10.5228,0.0,-1.2894,0.634007
CANBK-RECLTD,-9.0258,0.0,-10.1022,0.0,-1.1023,0.714137
BDL-NBCC,-8.3973,0.0,-8.613,0.0,-1.0469,0.735777
BEL-DATAPATTNS,-10.6824,0.0,-11.8991,0.0,-1.2039,0.671902
HINDZINC-NMDC,-7.9894,0.0,-9.2252,0.0,-1.5495,0.508895
MPHASIS-OFSS,-13.6984,0.0,-16.6869,0.0,-1.8186,0.371264
INFY-PERSISTENT,-15.1973,0.0,-16.0202,0.0,-1.317,0.621378
INOXWIND-RVNL,-9.1119,0.0,-9.3047,0.0,-2.0318,0.272816
JIOFIN-RECLTD,-9.1487,0.0,-9.1853,0.0,-1.4367,0.564566
KPITTECH-TATAELXSI,-11.0775,0.0,-11.9107,0.0,-1.3238,0.618227
JWL-RAILTEL,-14.8403,0.0,-18.3907,0.0,-2.3877,0.145241
PERSISTENT-TCS,-11.0972,0.0,-12.7256,0.0,-1.0657,0.728569
RECLTD-RVNL,-8.6323,0.0,-9.3801,0.0,-1.5128,0.527182
NMDC-SAIL,-14.7402,0.0,-14.8682,0.0,-1.6282,0.468437
HINDALCO-NMDC,-11.3169,0.0,-12.2966,0.0,-1.0873,0.720124
