symbol_a,symbol_b,net_profit,gross_profit,total_fees,win_rate,trade_count,max_drawdown,exit_reasons
ADANIPORTS,GMRAIRPORT,-24851.27329333519,-7336.552369998576,17514.720923336627,0.19402985074626866,268,24804.419773593374,mr;se;sl
HCLTECH,TATAELXSI,24.65691485100737,89.94645000000037,65.289535148993,1.0,1,0.0,mr
JSWSTEEL,NATIONALUM,-8079.245971568982,-4227.2988749997185,3851.947096569265,0.13559322033898305,59,9268.547086998387,mr;se;sl
ANGELONE,IREDA,-10963.049153139233,11714.585765001993,22677.634918141208,0.3515850144092219,347,10827.45166401655,mr;se
CGPOWER,MAZDOCK,16298.954064569267,30975.589250001292,14676.63518543202,0.6711111111111111,225,679.4812985239314,mr;se
HAL,IRFC,-3111.3782573621556,-497.27261499977783,2614.105642362378,0.25,40,3392.7700484638563,mr;sl
DLF,PFC,-7443.121034376582,14563.830550001941,22006.951584378534,0.4124629080118694,337,7588.732945585272,mr;se
JINDALSTEL,VEDL,-15123.037057468546,8459.958015001746,23582.995072470272,0.32409972299168976,361,15023.70006037737,mr;se
CHOLAFIN,SHRIRAMFIN,0.0,0.0,0.0,0.0,0,0.0,none
NBCC,TITAGARH,-484.06457358680007,21698.706450001897,22182.771023588706,0.3941176470588235,340,6671.333066110451,mr;se
CDSL,HUDCO,1055.481399521672,17206.686900001387,16151.205500479717,0.5685483870967742,248,1300.500444964487,mr;se
ABCAPITAL,CDSL,-27959.034140406624,-4446.661849997996,23512.37229040863,0.24376731301939059,361,27901.857713827445,mr;se
BAJAJ-AUTO,TMPV,-27596.256324912767,-557.767374997904,27038.488949914856,0.26570048309178745,414,27729.0684230782,mr;se
EXIDEIND,NBCC,13139.368920637424,20064.66417500049,6925.295254363056,0.8018867924528302,106,383.6827527002697,mr
CDSL,LTF,4275.573252676617,23426.647800001672,19151.074547325043,0.5306122448979592,294,839.0459556657088,mr;se
LTF,RECLTD,16599.41398940508,35872.39938000159,19272.98539059651,0.6813559322033899,295,1092.9559118811849,mr;se
BHEL,RVNL,29321.484145058897,49509.12882500167,20187.64467994282,0.7572815533980582,309,1185.1650020879747,mr;se
DIVISLAB,LAURUSLABS,-7632.442652180002,15484.852000001838,23117.29465218185,0.38333333333333336,360,9554.18480407753,mr;se
BANKBARODA,IREDA,3527.890093922281,10714.925365000692,7187.035271078408,0.5363636363636364,110,669.8780095063807,mr;se
GLENMARK,ZYDUSLIFE,-17104.07859633592,10543.634150002319,27647.712746338242,0.3113207547169811,424,17248.40697626525,mr;se
