symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,spread_mean,spread_std,adf_pvalue,tradeable,skipped
DLF,GODREJPROP,0.5496385403433995,29,27527,1e-07,2.510148189130774e-07,3.680615609290316e-07,137451.0349516594,50,False,0.6035680500257321,1.9155906053045624,,,,,,,,,,,0.8553625565963541,False,False
NATIONALUM,VEDL,0.5405240156365909,30,27527,1e-07,1.9977618036589718e-07,2.21874857905399e-07,142923.74550596782,50,False,0.6428602406829138,2.3321155584555395,,,,,,,,,,,0.1494887796812523,False,False
PNB,UNIONBANK,0.5388344203166681,31,27527,1e-07,1.5574700515847874e-07,1.3083949254799136e-07,147000.31649503123,50,False,0.5179759018664634,2.1131209180791473,,,,,,,,,,,0.9364469428701178,False,False
IRCON,RVNL,0.538437730038286,32,27527,1e-07,2.1435852464272213e-07,2.73235828944129e-07,141596.3329416866,50,False,0.6111545581314841,1.499839326887851,,,,,,,,,,,0.5793535927184691,False,False
GRAPHITE,HEG,0.5346864588112443,33,27527,1e-07,6.949766930794776e-07,3.0324950690425062e-06,128574.87662768687,50,False,1.1552017346219063,-0.838769090742612,,,,,,,,,,,0.3428422529272585,False,False
BANKBARODA,UNIONBANK,0.5329333603719645,34,27527,1e-07,1.6357234154581657e-07,1.3898495487581604e-07,146676.60478362418,50,False,0.399383145020861,3.6113408313289987,,,,,,,,,,,0.8362024221387903,False,False
ADANIENT,ADANIPORTS,0.5304318931027404,35,27527,1e-07,3.027985139323872e-07,4.6367155858169957e-07,136285.2463918916,50,False,1.513452218956686,-3.3708108870544233,,,,,,,,,,,0.23994993933425512,False,False
HINDZINC,NATIONALUM,0.5296621477584993,36,27527,1e-07,2.528803659335892e-07,3.1415731732725447e-07,141266.32474564583,50,False,0.3745667303524301,4.186707547974955,,,,,,,,,,,0.8037724376848014,False,False
BANKINDIA,INDIANB,0.5289658710719399,37,27527,1e-07,2.12116157062956e-07,2.611114593951139e-07,139874.05027688277,50,False,0.5786519879355531,1.1213700599184342,,,,,,,,,,,0.844701851374107,False,False
HCLTECH,TCS,0.5257685934461046,38,27527,1e-07,2.2992713022578046e-07,3.2754177145030505e-07,136644.23082403486,50,False,0.9388373364468899,-0.140346334889991,,,,,,,,,,,0.4761626687497966,False,False
IRCON,RAILTEL,0.5250220898277165,39,27527,1e-07,2.4325404028239036e-07,3.3465195994917115e-07,141117.7344608454,50,False,0.6872279792642924,1.0408678990815678,,,,,,,,,,,0.48446123595946516,False,False
