pair,lagger_asset,ols_gross_pnl,ols_net_pnl,ols_trades,gross_win_rate,net_win_rate,mean_rev_exits,eod_exits,avg_price_captured,avg_fee_drag,spread_vol,mean_abs_dev,zero_crossings,half_life,kalman_q,adf_stat,adf_pval
CPPLUS-SONACOMS,CPPLUS,24412.7,23467.46,18,0.9444,0.9444,3,15,56.1889,52.5132,0.044575,0.043018,263,689.54,3.99e-06,-4.1273,0.000873
CPPLUS-LTFOODS,CPPLUS,23813.6,22765.6,20,0.85,0.85,5,15,46.735,52.4002,0.046877,0.043065,251,697.14,4.37e-06,-4.0183,0.001318
CPPLUS-KEI,CPPLUS,20560.8,19729.5,16,0.75,0.6875,3,13,53.1562,51.9562,0.045542,0.041214,237,775.13,3.71e-06,-3.9864,0.001483
SCHNEIDER-VTL,VTL,19360.5,18290.93,20,0.85,0.85,6,14,9.58,53.4786,0.050176,0.039904,749,285.2,1.221e-05,-5.5797,1e-06
CPPLUS-NHPC,CPPLUS,18335.4,17390.25,18,0.7222,0.7222,2,16,40.45,52.5083,0.051969,0.048701,281,960.6,3.89e-06,-3.4875,0.008315
CPPLUS-JPPOWER,CPPLUS,18137.4,17247.06,17,0.7059,0.7059,1,16,46.3882,52.3731,0.04351,0.044809,297,732.69,3.58e-06,-4.0607,0.001124
CPPLUS-MCX,CPPLUS,17980.2,17166.28,15,0.8,0.8,1,14,47.7267,52.1901,0.050953,0.047998,289,988.38,3.64e-06,-3.458,0.009132
CPPLUS-HINDALCO,CPPLUS,17876.8,17087.63,15,0.8667,0.8,2,13,51.1267,52.6112,0.046516,0.046945,341,790.91,3.79e-06,-3.9057,0.001994
CPPLUS-TATACAP,CPPLUS,17907.5,16971.1,18,0.8333,0.7778,1,17,42.3111,52.0225,0.057804,0.055107,173,1155.17,4.01e-06,-3.1746,0.0215
SAGILITY-VEDL,SAGILITY,17786.68,16930.25,16,0.75,0.75,2,14,0.8925,53.5267,0.047177,0.04172,238,1118.33,2.76e-06,-3.3732,0.011908
CPPLUS-MMTC,CPPLUS,17717.9,16879.83,16,0.875,0.8125,2,14,46.9625,52.3797,0.051897,0.051459,125,1072.81,3.48e-06,-3.3998,0.010965
HSCL-NEWGEN,NEWGEN,17809.05,16791.06,19,0.5789,0.5263,1,18,9.4789,53.5785,0.041941,0.034823,338,632.9,3.85e-06,-4.3542,0.000357
CEATLTD-GALLANTT,GALLANTT,17048.15,16453.39,11,0.7273,0.7273,2,9,18.7955,54.0694,0.03908,0.030651,341,893.62,2.37e-06,-3.5602,0.006569
ADANIPOWER-BALKRISIND,BALKRISIND,17143.2,16407.37,14,0.7857,0.7857,3,11,61.7714,52.5594,0.06576,0.050224,278,1886.14,3.18e-06,-2.4217,0.135713
GESHIP-SPLPETRO,SPLPETRO,16825.15,16133.74,13,0.8462,0.8462,0,13,17.4923,53.1852,0.035433,0.032275,337,670.01,2.59e-06,-4.1282,0.00087
GMRAIRPORT-PGEL,PGEL,16817.55,16124.34,13,0.7692,0.7692,3,10,14.2115,53.3242,0.026529,0.021166,354,722.47,1.35e-06,-3.9949,0.001438
ABFRL-HSCL,ABFRL,17160.08,16034.28,21,0.7619,0.7619,8,13,0.9952,53.6096,0.042246,0.037635,243,532.75,4.64e-06,-4.6465,0.000106
CPPLUS-HUDCO,CPPLUS,16765.9,15977.87,15,0.7333,0.7333,1,14,44.74,52.5352,0.050604,0.045585,227,1011.33,3.51e-06,-3.4812,0.008483
CPPLUS-PHOENIXLTD,CPPLUS,16730.7,15945.3,15,0.7333,0.7333,0,15,44.6933,52.3601,0.054487,0.052718,169,1051.99,3.91e-06,-3.298,0.014966
CPPLUS-JSWINFRA,CPPLUS,16555.9,15769.21,15,0.8,0.8,1,14,43.38,52.4462,0.051281,0.05236,259,880.06,4.14e-06,-3.7028,0.004074
CPPLUS-IRB,CPPLUS,16611.6,15723.48,17,0.7647,0.7647,1,16,38.0765,52.2424,0.058297,0.057744,205,1145.37,4.11e-06,-3.1638,0.022179
AFCONS-RAILTEL,AFCONS,16424.15,15676.27,14,0.7143,0.7143,3,11,7.4536,53.42,0.035231,0.028833,312,650.72,2.64e-06,-4.0297,0.001263
CPPLUS-NYKAA,CPPLUS,16770.4,15666.66,21,0.619,0.619,3,18,32.4048,52.5592,0.048536,0.044459,261,781.95,4.17e-06,-3.7642,0.003296
GRAPHITE-WAAREEENER,GRAPHITE,16408.15,15666.21,14,0.7143,0.7143,2,12,16.8857,52.9954,0.061258,0.052289,186,1482.88,3.51e-06,-2.8518,0.051252
CPPLUS-JBMA,CPPLUS,16459.7,15517.23,18,0.6667,0.6667,1,17,36.0611,52.3592,0.050067,0.048262,197,849.17,4.09e-06,-3.6137,0.005505
LICI-PINELABS,PINELABS,16307.42,15511.78,15,0.5333,0.5333,6,9,4.0527,53.043,0.023166,0.020254,411,755.57,9.8e-07,-3.7562,0.003389
DATAPATTNS-SPLPETRO,DATAPATTNS,16382.1,15502.76,17,0.7647,0.7647,2,15,69.2353,51.7262,0.064615,0.053641,257,1105.78,5.23e-06,-3.2334,0.01813
AEGISLOG-HOMEFIRST,AEGISLOG,16119.75,15383.98,14,0.8571,0.8571,4,10,15.0571,52.5553,0.035925,0.027234,391,693.42,2.58e-06,-4.1758,0.000724
CPPLUS-DRREDDY,CPPLUS,15902.8,15323.7,11,0.8182,0.8182,1,10,57.3455,52.6458,0.053701,0.048836,277,990.71,4.03e-06,-3.4532,0.009272
EIHOTEL-SAIL,EIHOTEL,15779.0,15247.72,10,1.0,1.0,4,6,10.62,53.1281,0.037393,0.032314,275,653.65,2.96e-06,-4.1229,0.000888
MRPL-TITAGARH,MRPL,15769.27,15177.22,11,0.9091,0.8182,1,10,5.1955,53.8224,0.075298,0.057915,264,2511.65,3.13e-06,-2.2936,0.174047
IFCI-ZYDUSLIFE,IFCI,15917.2,15169.54,14,1.0,1.0,1,13,1.3729,53.4045,0.052684,0.042756,276,816.35,4.71e-06,-3.7153,0.003902
IFCI-KOTAKBANK,IFCI,15686.01,15152.41,10,0.8,0.8,2,8,1.794,53.3597,0.045438,0.04063,196,654.4,4.37e-06,-4.2963,0.000451
RPOWER-ZENTEC,RPOWER,15768.68,15024.89,14,0.7857,0.7857,2,12,0.5971,53.1276,0.0611,0.052542,356,938.44,5.51e-06,-3.7337,0.003664
CPPLUS-NMDC,CPPLUS,15424.0,14738.36,13,0.7692,0.7692,2,11,50.8923,52.7419,0.048995,0.047919,167,909.12,3.66e-06,-3.5924,0.005908
BATAINDIA-SUNTV,SUNTV,15583.6,14678.25,17,0.8824,0.8824,5,12,10.7735,53.256,0.056144,0.047466,357,1996.51,2.19e-06,-2.3558,0.154593
CPPLUS-OLECTRA,CPPLUS,15300.6,14617.37,13,0.7692,0.7692,1,12,44.9308,52.5558,0.048257,0.04642,235,860.96,3.75e-06,-3.7959,0.00295
CPPLUS-CUMMINSIND,CPPLUS,15288.3,14550.69,14,0.7857,0.7857,3,11,46.0429,52.6863,0.03982,0.034409,505,590.58,3.72e-06,-4.407,0.000289
ATGL-JINDALSAW,JINDALSAW,14846.71,14415.07,8,0.875,0.875,0,8,7.7025,53.9545,0.037731,0.029533,243,635.1,3.1e-06,-4.0877,0.001015
MRPL-SUZLON,MRPL,14919.44,14378.78,10,0.8,0.8,1,9,5.243,54.0659,0.076749,0.061098,202,2511.4,3.25e-06,-2.2966,0.173079
CPPLUS-STARHEALTH,CPPLUS,15026.4,14301.25,14,0.8571,0.8571,1,13,39.7214,51.7962,0.044464,0.042232,325,525.0,5.21e-06,-4.6492,0.000105
AEGISLOG-RAMCOCEM,AEGISLOG,15133.7,14290.63,16,0.75,0.75,3,13,12.0687,52.692,0.047708,0.0358,447,1135.42,2.78e-06,-3.1938,0.020348
CPPLUS-WELSPUNLIV,CPPLUS,15065.3,14230.22,16,0.6875,0.6875,1,15,38.9375,52.1925,0.041884,0.03823,345,599.13,4.05e-06,-4.4313,0.000261
BERGEPAINT-FIVESTAR,FIVESTAR,15408.7,14183.31,23,0.7826,0.7391,6,17,5.5413,53.2777,0.025753,0.018181,493,467.21,1.96e-06,-4.8808,3.8e-05
ACC-AEGISLOG,AEGISLOG,15007.0,14165.81,16,0.8125,0.8125,3,13,12.5938,52.5742,0.018864,0.019729,344,340.26,1.45e-06,-5.6284,1e-06
MRPL-SHREECEM,MRPL,14732.57,14142.24,11,0.7273,0.7273,2,9,4.9436,53.6662,0.068326,0.054236,196,1587.89,4.07e-06,-2.87,0.048951
CPPLUS-ULTRACEMCO,CPPLUS,14917.1,14129.65,15,0.6,0.6,2,13,39.24,52.4967,0.050908,0.047651,309,893.96,4.02e-06,-3.6429,0.004991
NEWGEN-PINELABS,PINELABS,14967.83,14119.31,16,0.6875,0.625,1,15,3.2281,53.0327,0.080535,0.053003,358,2343.89,3.83e-06,-2.2133,0.201459
CANFINHOME-MAHABANK,CANFINHOME,14897.35,14103.41,15,0.8667,0.8,4,11,17.7033,52.9293,0.026525,0.02325,360,541.97,1.8e-06,-4.6322,0.000113
CYIENT-UPL,UPL,14798.8,14055.67,14,0.9286,0.9286,2,12,13.6429,53.0809,0.041144,0.035934,265,982.15,2.39e-06,-3.2893,0.015363
PAYTM-PWL,PAYTM,14759.4,14014.22,14,0.8571,0.8571,3,11,22.3786,53.2273,0.033295,0.027636,279,692.28,2.22e-06,-4.2874,0.000467
CPPLUS-NLCINDIA,CPPLUS,15015.8,13963.15,20,0.8,0.8,2,18,30.81,52.6324,0.049089,0.042706,295,676.69,4.93e-06,-4.1959,0.000669
CHENNPETRO-WHIRLPOOL,CHENNPETRO,14638.8,13943.5,13,0.8462,0.8462,2,11,20.6231,53.4845,0.03682,0.028892,535,549.48,3.42e-06,-4.8974,3.5e-05
HSCL-PGEL,PGEL,14735.3,13932.57,15,0.8667,0.8,1,14,10.22,53.5152,0.058724,0.0429,256,1662.87,2.87e-06,-2.726,0.069654
ASIANPAINT-DEEPAKFERT,DEEPAKFERT,14524.55,13886.14,12,0.8333,0.8333,0,12,26.2667,53.2012,0.024447,0.019616,440,559.24,1.48e-06,-4.4537,0.000238
CPPLUS-VMM,CPPLUS,14689.4,13798.37,17,0.6471,0.6471,2,15,35.3471,52.4138,0.043698,0.044394,233,702.97,3.76e-06,-4.191,0.000682
AEGISLOG-AUROPHARMA,AEGISLOG,14740.7,13787.18,18,0.7778,0.6667,4,14,10.6972,52.9734,0.040166,0.031812,409,649.03,3.44e-06,-4.3413,0.000377
DOMS-LENSKART,DOMS,14407.3,13730.71,13,0.6923,0.6923,3,10,50.8923,52.0454,0.036395,0.03012,280,874.84,2.1e-06,-3.4985,0.008027
ACMESOLAR-NIACL,NIACL,14479.88,13725.1,14,0.7143,0.7143,0,14,3.0357,53.9131,0.041957,0.035681,342,676.1,3.61e-06,-3.9659,0.0016
CPPLUS-NAVA,CPPLUS,14449.1,13710.62,14,0.7857,0.7857,1,13,42.9286,52.7484,0.048751,0.046698,189,864.97,3.81e-06,-3.6344,0.005137
MRPL-VEDL,MRPL,14023.56,13480.82,10,0.8,0.7,2,8,4.912,54.2739,0.061975,0.048592,249,1547.27,3.44e-06,-2.8766,0.048137
BRITANNIA-JPPOWER,JPPOWER,14060.93,13469.21,11,0.8182,0.8182,1,10,0.4227,53.7928,0.025892,0.020711,350,892.32,1.04e-06,-3.6407,0.005028
ADANIGREEN-GALLANTT,GALLANTT,14157.45,13461.68,13,0.7692,0.6923,2,11,13.0692,53.5206,0.061688,0.049797,267,1101.6,4.79e-06,-3.0957,0.02687
ICICIAMC-TTML,TTML,13987.06,13450.84,10,0.8,0.8,2,8,1.082,53.6222,0.033153,0.027365,408,682.24,2.23e-06,-3.8511,0.002426
CANFINHOME-TITAGARH,CANFINHOME,14177.1,13435.91,14,0.8571,0.7857,5,9,17.5036,52.9421,0.025372,0.020432,452,535.31,1.66e-06,-4.4896,0.000205
CANFINHOME-GALLANTT,GALLANTT,14038.65,13397.14,12,0.75,0.75,3,9,15.65,53.4593,0.026279,0.021846,390,480.91,1.99e-06,-4.7842,5.8e-05
GVT&D-NCC,NCC,14298.03,13389.5,17,0.8235,0.8235,5,12,2.5,53.4427,0.049445,0.045555,326,588.12,5.76e-06,-4.357,0.000353
HDBFS-SCI,SCI,14048.58,13352.76,13,0.7692,0.7692,1,12,5.5062,53.5249,0.024758,0.024152,202,591.8,1.43e-06,-4.3125,0.000423
ATUL-HFCL,ATUL,14086.5,13331.93,15,0.8667,0.8667,4,11,130.1,50.3044,0.024913,0.019149,469,424.35,2.02e-06,-4.9519,2.8e-05
CHENNPETRO-SJVN,CHENNPETRO,14052.5,13306.35,14,0.6429,0.6429,3,11,18.8857,53.2967,0.036584,0.030751,393,465.23,3.98e-06,-5.5608,2e-06
BEML-MOTILALOFS,BEML,14186.9,13238.5,18,0.7778,0.7778,2,16,25.65,52.6891,0.030938,0.023763,623,551.86,2.4e-06,-4.5903,0.000135
IGIL-JPPOWER,IGIL,14038.25,13186.22,16,0.8125,0.6875,2,14,5.8469,53.2516,0.036462,0.028828,404,748.49,2.46e-06,-3.6996,0.004119
CHENNPETRO-INTELLECT,CHENNPETRO,13909.55,13161.38,14,0.7143,0.7143,2,12,18.1821,53.4404,0.036648,0.029534,402,506.18,3.67e-06,-5.0534,1.7e-05
GROWW-LTTS,GROWW,13828.67,13082.04,14,0.8571,0.8571,3,11,3.4836,53.331,0.058099,0.043965,297,1171.24,3.99e-06,-3.1693,0.021833
CPPLUS-ZYDUSLIFE,CPPLUS,13851.0,13065.48,15,0.7333,0.7333,1,14,39.02,52.3678,0.055721,0.051701,291,1062.91,4.05e-06,-3.3759,0.011808
EIHOTEL-TATASTEEL,EIHOTEL,13571.65,12987.65,11,0.7273,0.7273,2,9,8.3318,53.0907,0.036878,0.030776,295,691.2,2.72e-06,-4.0064,0.001378
HSCL-SBILIFE,HSCL,14032.1,12967.59,20,0.85,0.85,5,15,6.1825,53.2254,0.061216,0.043868,486,1696.68,3.06e-06,-2.6566,0.081853
CPPLUS-PCBL,CPPLUS,13911.6,12912.07,19,0.7895,0.7895,2,17,27.7526,52.6066,0.045308,0.042014,291,720.18,3.95e-06,-3.9171,0.001912
EIHOTEL-INDIANB,EIHOTEL,13432.5,12848.99,11,0.8182,0.8182,2,9,8.3318,53.0467,0.042896,0.035456,174,953.4,2.67e-06,-3.3867,0.011422
CANFINHOME-OFSS,CANFINHOME,13472.45,12732.01,14,0.7857,0.7857,3,11,16.9107,52.8883,0.028562,0.026959,204,618.03,1.83e-06,-4.3431,0.000374
NLCINDIA-PFC,NLCINDIA,13886.6,12717.56,22,0.7727,0.7727,3,19,3.4818,53.1381,0.039054,0.031035,339,782.54,2.7e-06,-3.7927,0.002982
IFCI-NBCC,IFCI,13318.59,12682.83,12,0.9167,0.9167,1,11,1.3942,52.9804,0.042384,0.031274,443,739.31,3.37e-06,-3.9053,0.001996
LATENTVIEW-TRITURBINE,TRITURBINE,13247.8,12656.69,11,0.8182,0.8182,1,10,12.5,53.7371,0.047673,0.043297,314,478.53,6.57e-06,-4.6783,9.2e-05
CARBORUNIV-SHRIRAMFIN,CARBORUNIV,13699.45,12638.08,20,0.65,0.65,5,15,12.8625,53.0684,0.046648,0.040181,261,1369.78,2.2e-06,-2.8406,0.052711
PAYTM-RPOWER,PAYTM,13148.5,12615.2,10,0.7,0.7,3,7,29.43,53.3297,0.025733,0.020863,446,449.07,2.04e-06,-5.2869,6e-06
CPPLUS-SYRMA,CPPLUS,13416.3,12594.53,15,0.6667,0.6667,1,14,33.02,52.6918,0.041565,0.033761,379,684.47,3.5e-06,-4.1117,0.000926
BAJAJFINSV-PAYTM,PAYTM,13385.85,12593.74,15,0.7333,0.7333,6,9,20.1733,52.8076,0.025788,0.021532,229,1027.08,9e-07,-3.2978,0.014978
CPPLUS-TMPV,CPPLUS,13311.0,12578.5,14,0.7143,0.7143,0,14,37.2143,52.3216,0.054568,0.048568,305,1086.34,3.8e-06,-3.3837,0.011529
EIHOTEL-JSWCEMENT,EIHOTEL,13420.3,12573.9,16,0.625,0.625,1,15,5.8156,52.9003,0.036072,0.032907,270,625.03,2.88e-06,-4.0652,0.001105
MGL-POONAWALLA,POONAWALLA,13031.35,12548.86,9,0.8889,0.7778,1,8,11.6056,53.61,0.040641,0.033795,233,897.08,2.55e-06,-3.5175,0.007548
LTF-PINELABS,PINELABS,13125.94,12539.93,11,0.8182,0.8182,2,9,4.3736,53.2738,0.029631,0.024267,398,528.38,2.3e-06,-4.7092,8.1e-05
EIHOTEL-PFIZER,EIHOTEL,13083.95,12500.84,11,0.5455,0.5455,1,10,8.1864,53.0098,0.041254,0.032611,273,794.4,2.97e-06,-3.6437,0.004979
KPRMILL-LTFOODS,LTFOODS,13305.7,12458.29,16,1.0,1.0,2,14,7.1063,52.9633,0.037867,0.029907,325,626.12,3.17e-06,-4.296,0.000451
SBFC-SCI,SCI,13080.19,12438.31,12,0.5833,0.5833,3,9,5.2767,53.49,0.047837,0.034996,318,1057.82,3e-06,-3.3278,0.013679
CANFINHOME-SHRIRAMFIN,CANFINHOME,13056.0,12420.94,12,0.5833,0.5833,1,11,19.0,52.9214,0.032246,0.025131,320,747.58,1.93e-06,-3.894,0.002079
EIHOTEL-OIL,EIHOTEL,12963.75,12380.03,11,0.6364,0.6364,1,10,7.8636,53.0654,0.044966,0.03421,344,1089.85,2.57e-06,-3.1608,0.022367
MCX-ZFCVINDIA,MCX,13060.1,12375.04,13,0.7692,0.7692,2,11,51.0308,52.6967,0.047629,0.042796,278,768.15,4.09e-06,-3.9154,0.001925
CPPLUS-INDHOTEL,CPPLUS,13175.8,12343.22,16,0.75,0.75,2,14,31.2812,52.0364,0.050034,0.050588,293,895.9,3.87e-06,-3.7165,0.003887
HDFCLIFE-PGEL,PGEL,12869.35,12340.63,10,0.6,0.6,2,8,14.635,52.8719,0.022569,0.019225,371,709.59,9.9e-07,-4.0276,0.001273
ADANIPORTS-CHOLAHLDNG,CHOLAHLDNG,13100.3,12301.73,15,0.7333,0.6667,3,12,27.1733,53.2383,0.034128,0.031997,263,887.28,1.82e-06,-3.6145,0.005489
JUBLINGREA-UTIAMC,JUBLINGREA,12941.25,12299.36,12,0.8333,0.8333,2,10,12.7417,53.491,0.051314,0.037588,545,1236.05,2.95e-06,-2.8647,0.049606
FIRSTCRY-MAPMYINDIA,MAPMYINDIA,12860.55,12284.07,11,0.7273,0.7273,1,10,23.4136,52.4074,0.044976,0.034604,337,769.84,3.64e-06,-3.9035,0.002009
BEML-GODREJPROP,BEML,13170.0,12279.41,17,0.7059,0.7059,3,14,27.8235,52.3878,0.027958,0.021775,500,487.28,2.22e-06,-4.8513,4.3e-05
EIDPARRY-THELEELA,THELEELA,13441.6,12272.04,22,0.9091,0.8636,7,15,5.2364,53.1618,0.033686,0.030399,394,489.51,3.21e-06,-4.4664,0.000226
CPPLUS-MAXHEALTH,CPPLUS,12839.6,12265.54,11,0.8182,0.8182,0,11,48.0545,52.1875,0.051145,0.046074,277,842.59,4.3e-06,-3.7127,0.003937
TBOTEK-WHIRLPOOL,TBOTEK,12998.3,12255.78,14,0.8571,0.8571,2,12,24.5143,53.0374,0.050242,0.041711,265,1171.37,2.99e-06,-2.9756,0.037239
ERIS-GALLANTT,GALLANTT,12776.95,12242.62,10,0.6,0.6,0,10,17.445,53.433,0.029179,0.027627,306,552.31,2.13e-06,-4.2034,0.00065
CPPLUS-GALLANTT,CPPLUS,13024.8,12239.72,15,0.6667,0.6667,2,13,35.1733,52.3386,0.047107,0.043177,289,811.05,3.79e-06,-3.7988,0.00292
CROMPTON-GALLANTT,GALLANTT,12652.05,12221.39,8,0.875,0.875,0,8,21.1,53.8324,0.048272,0.039038,240,1173.83,2.75e-06,-3.0124,0.033752
HINDCOPPER-TATASTEEL,HINDCOPPER,12851.9,12217.92,12,0.8333,0.8333,0,12,12.6,52.8314,0.0498,0.039981,234,682.48,5.03e-06,-4.0303,0.00126
BIOCON-SCI,SCI,13017.77,12216.99,15,0.7333,0.7333,2,13,4.5667,53.3855,0.041786,0.030987,248,2770.34,8.7e-07,-1.6804,0.44124
BLUESTARCO-GALLANTT,GALLANTT,12785.45,12193.8,11,0.9091,0.9091,0,11,15.9955,53.786,0.054953,0.043118,278,1423.13,2.94e-06,-2.9815,0.036657
ATUL-CPPLUS,ATUL,13126.5,12128.13,20,0.7,0.7,5,15,92.225,49.9186,0.024533,0.019673,485,378.04,2.2e-06,-5.372,4e-06
ABLBL-GALLANTT,GALLANTT,12494.8,12117.66,7,0.8571,0.8571,1,6,23.2929,53.8774,0.041246,0.037509,307,653.3,3.61e-06,-4.0371,0.001228
GPIL-NIACL,NIACL,12597.77,12114.07,9,0.8889,0.8889,0,9,3.9778,53.7447,0.038928,0.032867,279,818.65,2.56e-06,-3.6564,0.00477
DCMSHRIRAM-PINELABS,PINELABS,12579.5,12103.32,9,0.7778,0.7778,1,8,5.32,52.9089,0.041758,0.032137,374,939.67,2.57e-06,-3.3759,0.011809
HDFCLIFE-TEJASNET,TEJASNET,12631.7,12098.46,10,0.9,0.9,0,10,10.085,53.3239,0.032582,0.025736,358,1556.46,9.5e-07,-2.7318,0.068698
M&M-TATACOMM,TATACOMM,12825.7,12088.01,14,0.8571,0.8571,1,13,28.5071,52.6924,0.025761,0.020793,452,733.23,1.25e-06,-4.0219,0.0013
LT-NAM-INDIA,NAM-INDIA,12528.3,12050.63,9,0.6667,0.6667,3,6,25.1667,53.0743,0.028662,0.023329,324,676.91,1.68e-06,-4.0016,0.001402
JWL-SAIL,JWL,12669.02,12035.69,12,0.75,0.75,1,11,6.53,52.7772,0.042234,0.040159,251,642.98,3.84e-06,-5.0181,2e-05
CPPLUS-TRENT,CPPLUS,12580.2,12005.85,11,0.8182,0.8182,0,11,47.1455,52.214,0.049637,0.046604,205,1029.15,3.32e-06,-3.4196,0.010309
GROWW-PWL,GROWW,12806.69,12001.34,15,0.8,0.8,2,13,3.0273,53.6903,0.041908,0.033257,337,558.99,4.35e-06,-4.5739,0.000144
MRPL-OLECTRA,MRPL,12532.89,11992.01,10,0.8,0.8,1,9,4.383,54.088,0.072051,0.056148,176,1941.27,3.71e-06,-2.6409,0.084829
GROWW-HSCL,GROWW,12766.08,11959.7,15,0.6667,0.6667,1,14,3.0473,53.7584,0.057467,0.047823,217,1039.56,4.4e-06,-3.3699,0.01203
EMCURE-TORNTPOWER,EMCURE,12366.8,11893.03,9,1.0,1.0,2,7,43.7,52.6409,0.03203,0.028096,287,583.32,2.44e-06,-4.4732,0.00022
ATUL-MOTHERSON,ATUL,12733.0,11885.81,17,0.7647,0.7647,8,9,106.7353,49.8344,0.020669,0.01797,587,316.74,1.87e-06,-5.7446,1e-06
CANFINHOME-PETRONET,CANFINHOME,12872.85,11871.08,19,0.8421,0.8421,3,16,12.1842,52.7246,0.028895,0.023685,325,589.25,1.96e-06,-4.3426,0.000374
ADANIPORTS-NAM-INDIA,NAM-INDIA,12496.9,11862.81,12,0.8333,0.8333,3,9,19.2917,52.8411,0.025447,0.021126,333,572.45,1.57e-06,-4.4749,0.000218
IIFL-PHOENIXLTD,IIFL,12803.7,11847.75,18,0.7778,0.7778,1,17,6.775,53.1081,0.043165,0.034549,302,724.3,3.56e-06,-3.914,0.001934
CPPLUS-RPOWER,CPPLUS,12632.7,11847.06,15,0.6667,0.6667,2,13,32.62,52.3757,0.046732,0.045212,205,842.86,3.59e-06,-3.7756,0.003167
CPPLUS-HDFCAMC,CPPLUS,12630.6,11846.28,15,0.8,0.8,1,14,32.4,52.2881,0.048336,0.042498,375,915.9,3.53e-06,-3.5879,0.005996
HDFCBANK-INDHOTEL,INDHOTEL,12582.3,11840.43,14,0.8571,0.8571,1,13,11.2214,52.9906,0.018267,0.018993,292,540.16,8.6e-07,-4.5491,0.00016
CPPLUS-DIXON,CPPLUS,12706.6,11818.02,17,0.7647,0.7647,1,16,29.6176,52.2692,0.04614,0.04857,211,737.4,4e-06,-4.047,0.001183
EIHOTEL-NTPCGREEN,EIHOTEL,12280.8,11802.17,9,0.5556,0.5556,1,8,9.0667,53.1814,0.0375,0.030295,347,715.26,2.72e-06,-3.8616,0.002337
SCHNEIDER-TTML,TTML,12409.62,11761.68,12,0.6667,0.6667,1,11,0.8508,53.9951,0.075138,0.068861,391,846.63,9.24e-06,-3.1762,0.021403
IFCI-NUVAMA,IFCI,12172.71,11741.2,8,0.75,0.75,3,5,1.6975,53.9391,0.049782,0.038149,292,913.49,3.76e-06,-3.6158,0.005465
CPPLUS-INDUSINDBK,CPPLUS,12334.1,11723.23,11,0.7273,0.7273,2,9,44.3182,52.6797,0.052246,0.046132,339,903.87,4.18e-06,-3.7033,0.004067
CPPLUS-SCHAEFFLER,CPPLUS,12286.4,11713.26,11,0.8182,0.8182,0,11,44.6909,52.1036,0.056998,0.052525,221,1139.43,3.95e-06,-3.1701,0.021781
GLAND-TTML,TTML,12172.33,11692.58,9,0.8889,0.7778,0,9,1.1956,53.3055,0.049232,0.038726,253,1544.34,2.17e-06,-2.2912,0.174817
MRPL-SWANCORP,MRPL,12266.25,11674.31,11,0.7273,0.7273,1,10,3.9618,53.813,0.071557,0.055244,217,2101.83,3.38e-06,-2.4767,0.121246
JPPOWER-REDINGTON,JPPOWER,12475.11,11674.27,15,0.7333,0.7333,2,13,0.2633,53.3895,0.067294,0.049492,321,1479.39,4.24e-06,-2.8848,0.047145
CPPLUS-ENDURANCE,CPPLUS,12402.2,11669.86,14,0.7857,0.7857,2,12,34.1214,52.3098,0.060269,0.056956,245,1173.53,4.29e-06,-3.1598,0.022434
BLS-HCLTECH,BLS,12468.51,11663.52,15,0.6667,0.6667,2,13,4.3907,53.6662,0.054602,0.042353,336,639.28,6.46e-06,-4.4635,0.000229
CPPLUS-ZEEL,CPPLUS,12300.2,11663.09,12,0.8333,0.8333,0,12,40.1917,53.0926,0.049323,0.043038,379,936.64,3.6e-06,-3.5096,0.007744
BSOFT-PRESTIGE,PRESTIGE,12116.4,11641.23,9,0.8889,0.8889,0,9,37.5667,52.797,0.049149,0.038513,164,1449.47,2.31e-06,-2.8766,0.048134
EIHOTEL-HINDALCO,EIHOTEL,12215.65,11633.01,11,0.6364,0.6364,2,9,7.7545,52.9674,0.033905,0.028011,454,557.46,2.86e-06,-4.4193,0.000274
CEMPRO-INDIACEM,CEMPRO,12476.7,11624.41,16,0.75,0.75,2,14,8.9094,53.2679,0.099187,0.059576,423,2186.54,6.24e-06,-2.2224,0.198202
KIRLOSENG-TATACHEM,KIRLOSENG,12405.9,11613.51,15,0.6667,0.6667,1,14,24.2533,52.826,0.05198,0.042062,292,860.13,4.35e-06,-3.6611,0.004695
DLF-NCC,NCC,12293.2,11596.02,13,0.7692,0.7692,6,7,2.8177,53.6294,0.024691,0.023084,387,414.43,2.04e-06,-5.1258,1.2e-05
HSCL-UBL,HSCL,12430.05,11577.65,16,0.8125,0.8125,2,14,7.1281,53.2748,0.063838,0.045236,352,1552.8,3.64e-06,-2.7879,0.060021
AEGISLOG-BERGEPAINT,AEGISLOG,12407.2,11564.44,16,0.6875,0.6875,4,12,10.3188,52.6723,0.038634,0.030413,251,746.45,2.77e-06,-3.8217,0.002693
KOTAKBANK-PFIZER,PFIZER,12381.0,11564.07,16,0.8125,0.75,4,12,78.3063,51.058,0.025332,0.020131,328,608.11,1.46e-06,-4.2536,0.000534
GROWW-JSWENERGY,GROWW,12082.84,11543.91,10,0.7,0.7,0,10,4.281,53.8931,0.05752,0.043101,261,1380.13,3.32e-06,-2.8119,0.056587
HSCL-TATACONSUM,HSCL,12591.1,11527.5,20,0.75,0.75,2,18,5.4625,53.1802,0.042934,0.032776,438,660.46,3.87e-06,-4.2044,0.000648
