pair,lagger_asset,ols_gross_pnl,ols_net_pnl,ols_trades,gross_win_rate,net_win_rate,mean_rev_exits,eod_exits,avg_price_captured,avg_fee_drag,spread_vol,mean_abs_dev,zero_crossings,half_life,kalman_q,adf_stat,adf_pval
ATHERENERG-GPIL,ATHERENERG,625.4,-64.66,13,0.6923,0.6923,0,13,1.1615,53.0814,0.053001,0.042305,298,1048.18,3.71e-06,,
CUB-HSCL,CUB,517.0,-64.67,11,0.3636,0.2727,0,11,0.5627,52.8795,0.036945,0.032591,311,550.51,3.43e-06,,
BAJAJFINSV-ICICIAMC,BAJAJFINSV,194.2,-64.68,5,0.6,0.6,0,5,0.9,51.7756,0.027501,0.023682,194,639.98,1.64e-06,,
DABUR-OBEROIRLTY,DABUR,572.15,-64.72,12,0.5833,0.5,0,12,0.3625,53.0722,0.039355,0.029978,278,1469.53,1.46e-06,,
AADHARHFC-NESTLEIND,AADHARHFC,519.75,-64.72,11,0.5455,0.5455,1,10,0.4318,53.1333,0.023054,0.019647,423,422.77,1.74e-06,,
LODHA-RADICO,LODHA,147.05,-64.73,4,0.75,0.75,0,4,0.7625,52.9444,0.079193,0.064471,199,3304.29,2.63e-06,,
INDHOTEL-TORNTPHARM,TORNTPHARM,341.9,-64.74,8,0.5,0.375,2,6,5.05,50.83,0.037732,0.031941,233,1216.93,1.62e-06,,
AIAENG-GODREJIND,AIAENG,803.7,-64.76,17,0.5294,0.5294,0,17,5.7294,51.0862,0.029283,0.024063,316,508.61,2.33e-06,,
PIIND-PPLPHARMA,PIIND,610.8,-64.76,13,0.5385,0.3846,0,13,3.2154,51.9659,0.023844,0.019296,372,636.33,1.24e-06,,
NTPC-PNB,PNB,787.92,-64.85,16,0.6875,0.6875,1,15,0.12,53.298,0.022242,0.021631,301,777.29,8.8e-07,,
PVRINOX-TATACAP,PVRINOX,251.75,-64.88,6,0.6667,0.6667,0,6,1.025,52.7719,0.042559,0.035157,210,1489.43,1.69e-06,,
GRSE-IOC,GRSE,601.7,-64.93,13,0.4615,0.4615,1,12,6.3154,51.2796,0.05672,0.046776,280,1605.96,2.78e-06,,
RECLTD-TITAN,RECLTD,360.65,-64.97,8,0.625,0.625,0,8,0.3188,53.2025,0.030549,0.022914,519,967.17,1.34e-06,,
HDFCLIFE-WHIRLPOOL,WHIRLPOOL,253.1,-65.01,6,0.5,0.5,0,6,1.0833,53.0187,0.027189,0.022098,309,877.13,1.17e-06,,
HINDZINC-SUPREMEIND,HINDZINC,358.55,-65.05,8,0.5,0.5,0,8,0.225,52.9502,0.055385,0.047257,224,1157.71,3.67e-06,,
PTCIL-ZENTEC,PTCIL,408.0,-65.09,11,0.3636,0.3636,1,10,20.7273,43.0081,0.038789,0.027372,457,1157.32,1.8e-06,,
ADANIGREEN-LAURUSLABS,LAURUSLABS,305.75,-65.19,7,0.2857,0.2857,0,7,0.9357,52.9909,0.065307,0.054582,151,1669.71,3.54e-06,,
SOBHA-UNIONBANK,UNIONBANK,307.36,-65.19,7,0.4286,0.4286,0,7,0.1571,53.2211,0.053359,0.041321,243,1325.09,2.98e-06,,
MAXHEALTH-TMPV,MAXHEALTH,674.6,-65.21,14,0.4286,0.4286,0,14,0.7786,52.8434,0.029039,0.024131,346,1184.04,9.9e-07,,
PIDILITIND-VBL,PIDILITIND,305.6,-65.24,7,0.5714,0.5714,1,6,1.3429,52.977,0.022342,0.018631,377,788.89,8.8e-07,,
