Pair,Worst_Case_HL_Min,Target_Kalman_Delay_Min,Avg_OU_Variance,Chunk_HLs
PFC-RECLTD,1419.069522984639,2838.139045969278,1.02949516732527e-06,"['120.4m', '1419.1m', '463.5m', '220.0m']"
BDL-MAZDOCK,3179.6943370954914,6359.388674190983,1.1015191920136128e-06,"['1888.8m', '3179.7m', '1065.6m', '568.8m']"
GRSE-MAZDOCK,1229.9369193292841,2459.8738386585683,1.4756800601798062e-06,"['311.2m', '773.0m', '1229.9m', '1167.8m']"
BANKBARODA-CANBK,1000.7075916334686,2001.4151832669372,6.120901470926034e-07,"['1000.7m', '450.3m', '566.8m', '354.6m']"
BPCL-HINDPETRO,2017.1507208616922,4034.3014417233844,7.991990354789176e-07,"['128.2m', '579.4m', '341.9m', '2017.2m']"
