symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
BANKBARODA,INDIANB,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JINDALSTEL,TATASTEEL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
BEL,GRSE,2.5,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
CANBK,SBIN,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HCLTECH,TECHM,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BDL,COCHINSHIP,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
INDIANB,PNB,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
GODREJPROP,PRESTIGE,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HINDALCO,VEDL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRCON,JWL,2.0,0.0,True,5.640000000000001,10,0.5,a,5,0,5,0,1.8180000000000036,-0.6900000000000034
DLF,LODHA,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
TCS,TECHM,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
DATAPATTNS,MAZDOCK,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JBCHEPHARM,TORNTPHARM,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BANKBARODA,SBIN,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HINDALCO,TATASTEEL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
INFY,TECHM,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
GODREJPROP,LODHA,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
COFORGE,MPHASIS,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
GRSE,HAL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
ABCAPITAL,LTF,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
RAILTEL,RVNL,2.0,0.0,True,1.25,2,0.5,a,1,0,1,0,4.050000000000011,-2.8000000000000114
NATIONALUM,NMDC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
DLF,OBEROIRLTY,2.0,0.0,False,1.599999999999909,1,1.0,b,1,0,0,0,1.599999999999909,0.0
GODREJPROP,OBEROIRLTY,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BSE,MCX,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HCLTECH,WIPRO,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
INOXWIND,SUZLON,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
IRFC,RECLTD,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRFC,RAILTEL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
MAZDOCK,RVNL,3.0,0.0,False,27.299999999999727,1,1.0,a,1,0,0,0,27.299999999999727,0.0
INOXWIND,IREDA,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
COFORGE,INFY,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
COFORGE,TCS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
TECHM,WIPRO,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
MPHASIS,PERSISTENT,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HEROMOTOCO,TVSMOTOR,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
COFORGE,TECHM,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
PNB,SBIN,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BAJAJFINSV,BAJFINANCE,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HUDCO,IREDA,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BDL,DATAPATTNS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HINDCOPPER,HINDZINC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
ADANIGREEN,ADANIPORTS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
INOXWIND,NBCC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
COCHINSHIP,DATAPATTNS,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
ANGELONE,BSE,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
IRCON,RITES,2.0,0.0,False,3.819999999999993,1,1.0,a,1,0,0,0,3.819999999999993,0.0
BANKINDIA,SBIN,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
SAIL,TATASTEEL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
JINDALSTEL,JSWSTEEL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HINDALCO,HINDZINC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
CDSL,IREDA,2.0,0.0,False,52.200000000000045,2,1.0,a,2,0,0,0,26.100000000000023,0.0
LODHA,PRESTIGE,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
IRCON,IREDA,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRCON,TITAGARH,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
JINDALSTEL,NMDC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IREDA,JIOFIN,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
EICHERMOT,HEROMOTOCO,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IREDA,PFC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRFC,MAZDOCK,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IREDA,SUZLON,2.0,0.0,False,1.4200000000000301,3,0.3333333333333333,a,3,0,0,0,1.6400000000000006,-0.10999999999998522
COFORGE,WIPRO,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
NATIONALUM,TATASTEEL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
BAJAJ-AUTO,HEROMOTOCO,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
TATASTEEL,VEDL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
OBEROIRLTY,PRESTIGE,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
NTPC,POWERGRID,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
CDSL,IRFC,3.0,0.0,False,40.09999999999991,2,1.0,a,2,0,0,0,20.049999999999955,0.0
COFORGE,HCLTECH,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BEML,GRSE,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HUDCO,NBCC,2.0,0.0,False,1.8100000000000023,2,0.5,a,2,0,0,0,2.780000000000001,-0.9699999999999989
BEL,COCHINSHIP,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
BEML,COCHINSHIP,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
COFORGE,OFSS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
COFORGE,LTM,2.0,0.0,False,10.0,2,0.5,b,2,0,0,0,35.0,-25.0
BEML,MAZDOCK,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JWL,TITAGARH,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
ADANIGREEN,ADANIPOWER,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
MAZDOCK,NBCC,2.0,0.0,False,1.8499999999999943,1,1.0,b,1,0,0,0,1.8499999999999943,0.0
