pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
COFORGE-MPHASIS,-3655.914850000023,22,0.4091,-2.9466,0.040194
ABCAPITAL-LTF,7889.186775000013,22,0.7273,-4.5254,0.000177
GRSE-HAL,7972.509449999998,21,0.619,-3.3504,0.01277
NATIONALUM-NMDC,2009.4050249999982,14,0.5714,-2.5659,0.100249
DLF-OBEROIRLTY,960.9934500000127,19,0.5263,-3.4351,0.009819
JBCHEPHARM-TORNTPHARM,-402.7497500000427,35,0.4,-5.2314,8e-06
GODREJPROP-OBEROIRLTY,1013.4719999999888,24,0.4583,-3.47,0.00879
IRFC-RECLTD,1055.200070000019,20,0.55,-3.9023,0.002018
RAILTEL-RVNL,-9021.982649999998,15,0.3333,-4.2136,0.000625
BSE-MCX,-2920.9940999999963,15,0.4667,-3.0963,0.026831
HCLTECH-WIPRO,930.2862999999743,23,0.6087,-2.3664,0.15146
MAZDOCK-RVNL,-1405.5472499999978,11,0.3636,-3.5802,0.00615
INOXWIND-SUZLON,157.74118999999519,18,0.6111,-3.7836,0.00308
INOXWIND-IREDA,1089.1389049999852,18,0.5556,-3.3144,0.014249
HUDCO-IREDA,-4731.06767500001,29,0.3793,-2.8699,0.048956
PNB-SBIN,-71.36957999998049,19,0.4737,-3.8829,0.002164
COFORGE-INFY,-627.7251000000197,30,0.5333,-2.5463,0.104614
TECHM-WIPRO,275.5220999999947,18,0.3889,-3.7564,0.003386
MPHASIS-PERSISTENT,-2051.786749999991,25,0.48,-3.0209,0.032985
IRFC-RAILTEL,4532.120585000001,16,0.5625,-4.6626,9.9e-05
SAIL-TATASTEEL,4063.2613049999964,29,0.4828,-4.5702,0.000147
COFORGE-TECHM,538.5803000000378,23,0.4348,-2.5218,0.110268
BAJAJFINSV-BAJFINANCE,3.980149999993955,15,0.5333,-3.695,0.004184
CDSL-IREDA,-6309.44564999999,24,0.4167,-3.2203,0.018839
