pair,ols_net_pnl,ols_trades,ols_win_rate,eod_exits,mean_exits
IRFC-PFC,-4809.475884999998,12,0.3333,12,0
JWL-RVNL,-10928.43716999999,13,0.5385,13,0
BEML-MAZDOCK,-13898.279650000004,20,0.25,20,0
BDL-RVNL,-3114.7774000000027,18,0.5,18,0
NMDC-VEDL,-1642.3492549999864,14,0.3571,14,0
COCHINSHIP-HAL,-6069.667100000004,13,0.3077,13,0
BEML-GRSE,-2573.265899999993,21,0.5238,21,0
IRFC-SUZLON,-161.88291500000378,11,0.4545,11,0
NBCC-RECLTD,-3622.1451050000132,20,0.5,20,0
CDSL-NBCC,-7793.005650000013,22,0.4545,22,0
BAJAJ-AUTO-EICHERMOT,3642.443250000004,25,0.52,24,1
EICHERMOT-TVSMOTOR,-8339.702000000001,26,0.3846,26,0
MAZDOCK-SUZLON,-6214.236699999999,22,0.4091,22,0
LODHA-OBEROIRLTY,6619.213300000007,18,0.5556,18,0
JIOFIN-NBCC,-3644.2203599999857,20,0.35,20,0
M&M-MARUTI,529.3268499999831,19,0.5263,19,0
JBMA-OLECTRA,-1888.376325000003,17,0.3529,17,0
ADANIENT-AMBUJACEM,-8573.959450000013,25,0.2,25,0
OFSS-PERSISTENT,1687.5919999999933,18,0.5,18,0
PREMIERENE-WAAREEENER,467.2944249999746,26,0.5385,26,0
NBCC-SUZLON,-317.37791499998457,14,0.3571,14,0
MPHASIS-TECHM,2359.090199999995,10,0.5,10,0
MAZDOCK-SOLARINDS,-1596.1303000000098,20,0.2,20,0
IRFC-JIOFIN,-2157.898870000012,21,0.4286,21,0
HINDCOPPER-NATIONALUM,-7249.525349999993,19,0.4211,19,0
CDSL-JIOFIN,-6108.521449999994,23,0.4348,23,0
IDEA-INDUSTOWER,-4017.044225000038,25,0.56,25,0
CANBK-RECLTD,-8087.719749999998,21,0.381,21,0
BDL-NBCC,-12465.020050000021,17,0.3529,17,0
BEL-DATAPATTNS,-2275.402849999985,20,0.45,20,0
HINDZINC-NMDC,-4541.5959250000005,22,0.4545,22,0
MPHASIS-OFSS,-3534.0048500000194,14,0.3571,14,0
INFY-PERSISTENT,3609.560699999989,18,0.4444,18,0
INOXWIND-RVNL,-5717.771440000001,16,0.25,16,0
JIOFIN-RECLTD,-6047.369855000005,18,0.3333,18,0
KPITTECH-TATAELXSI,9854.780649999997,21,0.6667,21,0
JWL-RAILTEL,-2685.4042950000166,18,0.4444,18,0
